2theta,intensity,,,,
5,437.5,Sample,FTO,,
5.04,377.083,Comments,meas,,
5.08,418.75,Filename,C:\data\BCRT\Yatsuzuka\20230112_2-4_XRD_alphaMnO2\20230112_2-4_003_FTOsubstrate_fine.raw,,
5.12,420.833,Goniometer,Ultima+,theta-theta,goniometer
5.16,368.75,Attachment,Standard,sample,holder
5.2,375,Monochromater,Fixed,Monochromator,
5.24,381.25,ScanningMode,2Theta/Theta,,
5.28,387.5,ScanningType,Continuos,Scanning,
5.32,350,X-Ray,40kV/40mA,,
5.36,412.5,DivSlit,1,deg.,
5.4,425,DivH.L.Slit,10mm,,
5.44,320.833,SctSlit,1,deg.,
5.48,314.583,RecSlit,0.6mm,,
5.52,427.083,Monochro,RS,No,Use
5.56,358.333,Start,5,,
5.6,354.167,Stop,50,,
5.64,354.167,Step,0.04,,
5.68,343.75,Speed,5,,
5.72,322.917,Offset,0,,
5.76,325,TempUnit,Celsius,,
5.8,335.417,StartTime,2023/01/12,14:59:00,
5.84,310.417,StartTemp,0,,
5.88,333.333,StopTime,2023/01/12,15:08:10,
5.92,322.917,StopTemp,0,,
5.96,320.833,,,,
6,343.75,,,,
6.04,308.333,,,,
6.08,281.25,,,,
6.12,310.417,,,,
6.16,312.5,,,,
6.2,339.583,,,,
6.24,337.5,,,,
6.28,350,,,,
6.32,283.333,,,,
6.36,320.833,,,,
6.4,291.667,,,,
6.44,322.917,,,,
6.48,270.833,,,,
6.52,293.75,,,,
6.56,318.75,,,,
6.6,258.333,,,,
6.64,287.5,,,,
6.68,291.667,,,,
6.72,270.833,,,,
6.76,262.5,,,,
6.8,300,,,,
6.84,279.167,,,,
6.88,260.417,,,,
6.92,237.5,,,,
6.96,243.75,,,,
7,237.5,,,,
7.04,250,,,,
7.08,277.083,,,,
7.12,231.25,,,,
7.16,222.917,,,,
7.2,260.417,,,,
7.24,254.167,,,,
7.28,277.083,,,,
7.32,245.833,,,,
7.36,239.583,,,,
7.4,239.583,,,,
7.44,225,,,,
7.48,206.25,,,,
7.52,252.083,,,,
7.56,239.583,,,,
7.6,245.833,,,,
7.64,237.5,,,,
7.68,227.083,,,,
7.72,277.083,,,,
7.76,252.083,,,,
7.8,235.417,,,,
7.84,247.917,,,,
7.88,222.917,,,,
7.92,200,,,,
7.96,264.583,,,,
8,231.25,,,,
8.04,243.75,,,,
8.08,262.5,,,,
8.12,268.75,,,,
8.16,191.667,,,,
8.2,227.083,,,,
8.24,254.167,,,,
8.28,231.25,,,,
8.32,208.333,,,,
8.36,195.833,,,,
8.4,210.417,,,,
8.44,227.083,,,,
8.48,225,,,,
8.52,181.25,,,,
8.56,208.333,,,,
8.6,189.583,,,,
8.64,168.75,,,,
8.68,181.25,,,,
8.72,235.417,,,,
8.76,222.917,,,,
8.8,197.917,,,,
8.84,183.333,,,,
8.88,200,,,,
8.92,197.917,,,,
8.96,187.5,,,,
9,206.25,,,,
9.04,191.667,,,,
9.08,200,,,,
9.12,229.167,,,,
9.16,195.833,,,,
9.2,227.083,,,,
9.24,181.25,,,,
9.28,172.917,,,,
9.32,210.417,,,,
9.36,154.167,,,,
9.4,204.167,,,,
9.44,200,,,,
9.48,212.5,,,,
9.52,172.917,,,,
9.56,175,,,,
9.6,183.333,,,,
9.64,204.167,,,,
9.68,189.583,,,,
9.72,245.833,,,,
9.76,204.167,,,,
9.8,185.417,,,,
9.84,164.583,,,,
9.88,147.917,,,,
9.92,189.583,,,,
9.96,195.833,,,,
10,168.75,,,,
10.04,204.167,,,,
10.08,131.25,,,,
10.12,183.333,,,,
10.16,177.083,,,,
10.2,160.417,,,,
10.24,193.75,,,,
10.28,160.417,,,,
10.32,220.833,,,,
10.36,195.833,,,,
10.4,170.833,,,,
10.44,170.833,,,,
10.48,187.5,,,,
10.52,179.167,,,,
10.56,177.083,,,,
10.6,214.583,,,,
10.64,162.5,,,,
10.68,179.167,,,,
10.72,152.083,,,,
10.76,183.333,,,,
10.8,168.75,,,,
10.84,183.333,,,,
10.88,229.167,,,,
10.92,191.667,,,,
10.96,164.583,,,,
11,156.25,,,,
11.04,168.75,,,,
11.08,214.583,,,,
11.12,181.25,,,,
11.16,156.25,,,,
11.2,175,,,,
11.24,158.333,,,,
11.28,206.25,,,,
11.32,164.583,,,,
11.36,164.583,,,,
11.4,197.917,,,,
11.44,204.167,,,,
11.48,170.833,,,,
11.52,185.417,,,,
11.56,175,,,,
11.6,172.917,,,,
11.64,204.167,,,,
11.68,170.833,,,,
11.72,154.167,,,,
11.76,150,,,,
11.8,150,,,,
11.84,200,,,,
11.88,162.5,,,,
11.92,183.333,,,,
11.96,175,,,,
12,172.917,,,,
12.04,177.083,,,,
12.08,160.417,,,,
12.12,195.833,,,,
12.16,162.5,,,,
12.2,191.667,,,,
12.24,179.167,,,,
12.28,141.667,,,,
12.32,150,,,,
12.36,170.833,,,,
12.4,172.917,,,,
12.44,141.667,,,,
12.48,152.083,,,,
12.52,172.917,,,,
12.56,156.25,,,,
12.6,166.667,,,,
12.64,137.5,,,,
