2theta,intensity,,,,
5,492.083,Sample,alpha-MnO2_on_FTO,,
5.04,492.917,Comments,meas_very_fine,,
5.08,476.25,Filename,C:\data\BCRT\Yatsuzuka\20230112_2-4_XRD_alphaMnO2\20230112_2-4_006_alpha-MnO2_CV-sweeped_superfine.raw,,
5.12,470.833,Goniometer,Ultima+,theta-theta,goniometer
5.16,466.667,Attachment,Standard,sample,holder
5.2,451.25,Monochromater,Fixed,Monochromator,
5.24,449.583,ScanningMode,2Theta/Theta,,
5.28,445.417,ScanningType,Continuos,Scanning,
5.32,442.917,X-Ray,40kV/40mA,,
5.36,434.167,DivSlit,1,deg.,
5.4,431.667,DivH.L.Slit,10mm,,
5.44,428.75,SctSlit,1,deg.,
5.48,425.417,RecSlit,0.6mm,,
5.52,428.75,Monochro,RS,No,Use
5.56,422.083,Start,5,,
5.6,407.5,Stop,50,,
5.64,441.25,Step,0.04,,
5.68,397.5,Speed,1,,
5.72,402.917,Offset,0,,
5.76,403.75,TempUnit,Celsius,,
5.8,396.667,StartTime,2023/01/12,15:46:45,
5.84,386.667,StartTemp,0,,
5.88,374.167,StopTime,2023/01/12,16:31:57,
5.92,393.75,StopTemp,0,,
5.96,379.583,,,,
6,366.667,,,,
6.04,365.833,,,,
6.08,362.083,,,,
6.12,362.5,,,,
6.16,347.5,,,,
6.2,362.917,,,,
6.24,330.833,,,,
6.28,356.667,,,,
6.32,353.333,,,,
6.36,337.917,,,,
6.4,334.167,,,,
6.44,330.833,,,,
6.48,319.167,,,,
6.52,327.917,,,,
6.56,309.583,,,,
6.6,300.417,,,,
6.64,315,,,,
6.68,286.25,,,,
6.72,307.917,,,,
6.76,291.25,,,,
6.8,311.667,,,,
6.84,308.333,,,,
6.88,302.083,,,,
6.92,299.167,,,,
6.96,292.5,,,,
7,290.417,,,,
7.04,276.667,,,,
7.08,276.25,,,,
7.12,294.167,,,,
7.16,280.833,,,,
7.2,287.083,,,,
7.24,295,,,,
7.28,270.833,,,,
7.32,287.083,,,,
7.36,271.667,,,,
7.4,266.25,,,,
7.44,274.583,,,,
7.48,249.583,,,,
7.52,267.917,,,,
7.56,265,,,,
7.6,263.75,,,,
7.64,265,,,,
7.68,262.083,,,,
7.72,266.667,,,,
7.76,262.083,,,,
7.8,260.417,,,,
7.84,240,,,,
7.88,247.917,,,,
7.92,248.75,,,,
7.96,238.75,,,,
8,238.75,,,,
8.04,227.083,,,,
8.08,240,,,,
8.12,251.667,,,,
8.16,225.833,,,,
8.2,230.417,,,,
8.24,240,,,,
8.28,230,,,,
8.32,233.333,,,,
8.36,241.667,,,,
8.4,215,,,,
8.44,230.833,,,,
8.48,227.083,,,,
8.52,227.5,,,,
8.56,226.25,,,,
8.6,235.417,,,,
8.64,231.667,,,,
8.68,212.917,,,,
8.72,233.75,,,,
8.76,218.75,,,,
8.8,218.333,,,,
8.84,210.833,,,,
8.88,216.25,,,,
8.92,231.667,,,,
8.96,222.083,,,,
9,210.833,,,,
9.04,210,,,,
9.08,211.667,,,,
9.12,225.417,,,,
9.16,205,,,,
9.2,208.75,,,,
9.24,228.75,,,,
9.28,205.417,,,,
9.32,214.167,,,,
9.36,203.333,,,,
9.4,205.417,,,,
9.44,220,,,,
9.48,187.917,,,,
9.52,207.917,,,,
9.56,205.833,,,,
9.6,191.25,,,,
9.64,189.583,,,,
9.68,182.5,,,,
9.72,211.667,,,,
9.76,213.333,,,,
9.8,194.167,,,,
9.84,199.583,,,,
9.88,199.167,,,,
9.92,183.75,,,,
9.96,198.75,,,,
10,192.5,,,,
10.04,192.083,,,,
10.08,188.333,,,,
10.12,191.667,,,,
10.16,191.667,,,,
10.2,180.417,,,,
10.24,189.167,,,,
10.28,188.333,,,,
10.32,190,,,,
10.36,191.25,,,,
10.4,185.833,,,,
10.44,190,,,,
10.48,174.167,,,,
10.52,184.167,,,,
10.56,177.083,,,,
10.6,185.417,,,,
10.64,190.833,,,,
10.68,183.75,,,,
10.72,185,,,,
10.76,182.917,,,,
10.8,190,,,,
10.84,178.333,,,,
10.88,188.333,,,,
10.92,203.333,,,,
10.96,175.417,,,,
11,186.667,,,,
11.04,178.75,,,,
11.08,176.667,,,,
11.12,179.583,,,,
11.16,193.75,,,,
11.2,193.333,,,,
11.24,197.917,,,,
11.28,189.167,,,,
11.32,185,,,,
11.36,196.25,,,,
11.4,179.583,,,,
11.44,207.083,,,,
11.48,199.583,,,,
11.52,197.917,,,,
11.56,194.167,,,,
11.6,203.75,,,,
11.64,200.833,,,,
11.68,199.167,,,,
11.72,197.083,,,,
11.76,203.333,,,,
11.8,208.333,,,,
11.84,210.417,,,,
11.88,223.75,,,,
11.92,214.583,,,,
11.96,224.583,,,,
12,235.833,,,,
12.04,231.25,,,,
12.08,230,,,,
12.12,237.5,,,,
12.16,232.083,,,,
12.2,257.917,,,,
12.24,247.917,,,,
12.28,247.083,,,,
12.32,259.167,,,,
12.36,250.417,,,,
12.4,247.917,,,,
12.44,255,,,,
12.48,260.417,,,,
12.52,267.917,,,,
12.56,255,,,,
12.6,279.167,,,,
12.64,255.833,,,,
12.68,255.417,,,,
12.72,260,,,,
12.76,238.333,,,,
12.8,242.083,,,,
12.84,232.083,,,,
12.88,239.167,,,,
12.92,234.583,,,,
12.96,231.25,,,,
13,224.583,,,,
13.04,232.5,,,,
13.08,245.417,,,,
13.12,223.333,,,,
13.16,228.333,,,,
13.2,225,,,,
13.24,215.417,,,,
13.28,189.167,,,,
13.32,198.333,,,,
13.36,197.083,,,,
13.4,208.75,,,,
13.44,194.167,,,,
