2theta,intensity,,,,
5,404.167,Sample,alpha-MnO2_on_FTO,,
5.04,383.75,Comments,meas_very_fine,,
5.08,402.083,Filename,C:\data\BCRT\Yatsuzuka\20230224_2-6_XRD_afterCV60scans\20230224_2-6_BareFTO_superfine.raw,,
5.12,402.5,Goniometer,Ultima+,theta-theta,goniometer
5.16,379.583,Attachment,Standard,sample,holder
5.2,406.25,Monochromater,Fixed,Monochromator,
5.24,387.5,ScanningMode,2Theta/Theta,,
5.28,382.083,ScanningType,Continuos,Scanning,
5.32,377.5,X-Ray,40kV/40mA,,
5.36,372.5,DivSlit,1,deg.,
5.4,360.833,DivH.L.Slit,10mm,,
5.44,357.917,SctSlit,1,deg.,
5.48,365,RecSlit,0.6mm,,
5.52,367.083,Monochro,RS,No,Use
5.56,365.833,Start,5,,
5.6,362.917,Stop,50,,
5.64,354.583,Step,0.04,,
5.68,350.417,Speed,1,,
5.72,346.667,Offset,0,,
5.76,347.083,TempUnit,Celsius,,
5.8,347.917,StartTime,2023/02/24,15:32:43,
5.84,336.25,StartTemp,0,,
5.88,334.167,StopTime,2023/02/24,16:17:54,
5.92,318.75,StopTemp,0,,
5.96,350.833,,,,
6,356.25,,,,
6.04,341.667,,,,
6.08,333.333,,,,
6.12,303.75,,,,
6.16,303.333,,,,
6.2,317.917,,,,
6.24,314.583,,,,
6.28,305.417,,,,
6.32,281.667,,,,
6.36,297.917,,,,
6.4,285,,,,
6.44,315,,,,
6.48,306.25,,,,
6.52,295.833,,,,
6.56,272.917,,,,
6.6,293.75,,,,
6.64,276.667,,,,
6.68,275.833,,,,
6.72,290,,,,
6.76,305,,,,
6.8,288.333,,,,
6.84,280.833,,,,
6.88,294.583,,,,
6.92,262.083,,,,
6.96,261.25,,,,
7,264.583,,,,
7.04,262.5,,,,
7.08,282.917,,,,
7.12,270,,,,
7.16,276.25,,,,
7.2,269.583,,,,
7.24,259.583,,,,
7.28,238.75,,,,
7.32,232.917,,,,
7.36,251.25,,,,
7.4,232.917,,,,
7.44,241.25,,,,
7.48,240.417,,,,
7.52,258.75,,,,
7.56,247.5,,,,
7.6,236.25,,,,
7.64,230.417,,,,
7.68,232.5,,,,
7.72,225.417,,,,
7.76,254.167,,,,
7.8,220.417,,,,
7.84,225,,,,
7.88,235.417,,,,
7.92,222.5,,,,
7.96,215.833,,,,
