2theta,intensity,,,,
5,116.563,Sample,alpha-MnO2_on_FTO,,
5.08,106.771,Comments,meas_very_fine,,
5.16,113.646,Filename,C:\data\BCRT\Yatsuzuka\20230315_2-7_pxrd_non-sprayed\20230315_2-7_003_pxrd_non-sprayed_wide.raw,,
5.24,106.042,Goniometer,Ultima+,theta-theta,goniometer
5.32,102.708,Attachment,Standard,sample,holder
5.4,103.542,Monochromater,Fixed,Monochromator,
5.48,99.375,ScanningMode,2Theta/Theta,,
5.56,92.9167,ScanningType,Continuos,Scanning,
5.64,89.8958,X-Ray,40kV/40mA,,
5.72,81.875,DivSlit,1/2,deg.,
5.8,81.4583,DivH.L.Slit,10mm,,
5.88,82.2917,SctSlit,1/2,deg.,
5.96,80.2083,RecSlit,0.3mm,,
6.04,71.6667,Monochro,RS,No,Use
6.12,75.5208,Start,5,,
6.2,75.5208,Stop,80.04,,
6.28,75.7292,Step,0.08,,
6.36,78.2292,Speed,0.5,,
6.44,70.625,Offset,0,,
6.52,61.7708,TempUnit,Celsius,,
6.6,68.4375,StartTime,2023/03/15,12:39:40,
6.68,69.4792,StartTemp,0,,
6.76,61.875,StopTime,2023/03/15,15:10:04,
6.84,63.5417,StopTemp,0,,
6.92,58.6458,,,,
7,59.375,,,,
7.08,58.3333,,,,
7.16,51.0417,,,,
7.24,54.5833,,,,
7.32,56.7708,,,,
7.4,51.3542,,,,
7.48,46.9792,,,,
7.56,48.3333,,,,
7.64,46.5625,,,,
7.72,45,,,,
7.8,44.6875,,,,
7.88,47.2917,,,,
7.96,43.6458,,,,
8.04,43.3333,,,,
8.12,44.6875,,,,
8.2,39.4792,,,,
8.28,42.8125,,,,
8.36,44.5833,,,,
8.44,40.9375,,,,
8.52,46.25,,,,
8.6,43.6458,,,,
8.68,39.2708,,,,
8.76,40.9375,,,,
8.84,36.6667,,,,
8.92,40.8333,,,,
9,37.2917,,,,
9.08,38.4375,,,,
9.16,41.0417,,,,
9.24,37.5,,,,
9.32,37.8125,,,,
9.4,33.0208,,,,
9.48,34.1667,,,,
9.56,32.0833,,,,
9.64,33.4375,,,,
9.72,33.4375,,,,
9.8,33.125,,,,
9.88,32.1875,,,,
9.96,31.4583,,,,
10.04,34.7917,,,,
10.12,31.9792,,,,
10.2,36.4583,,,,
10.28,34.8958,,,,
10.36,31.3542,,,,
10.44,36.0417,,,,
10.52,33.3333,,,,
10.6,31.1458,,,,
10.68,36.25,,,,
10.76,32.6042,,,,
10.84,37.8125,,,,
10.92,33.75,,,,
11,35.4167,,,,
11.08,39.375,,,,
11.16,41.1458,,,,
11.24,42.3958,,,,
11.32,44.8958,,,,
11.4,45.9375,,,,
11.48,44.6875,,,,
11.56,50.7292,,,,
11.64,53.75,,,,
11.72,58.125,,,,
11.8,68.3333,,,,
11.88,71.5625,,,,
11.96,76.9792,,,,
12.04,84.0625,,,,
12.12,90.3125,,,,
12.2,101.563,,,,
12.28,107.813,,,,
12.36,116.771,,,,
12.44,123.854,,,,
12.52,133.542,,,,
12.6,138.646,,,,
12.68,143.333,,,,
12.76,144.896,,,,
12.84,143.646,,,,
12.92,141.146,,,,
13,142.292,,,,
13.08,131.146,,,,
13.16,127.708,,,,
13.24,105.625,,,,
13.32,98.3333,,,,
13.4,95,,,,
13.48,88.8542,,,,
13.56,78.125,,,,
13.64,76.4583,,,,
13.72,67.7083,,,,
13.8,61.0417,,,,
13.88,56.25,,,,
13.96,50.9375,,,,
14.04,45.5208,,,,
14.12,43.8542,,,,
14.2,38.3333,,,,
14.28,37.5,,,,
14.36,34.2708,,,,
14.44,29.4792,,,,
14.52,36.0417,,,,
14.6,34.4792,,,,
14.68,26.6667,,,,
14.76,29.7917,,,,
14.84,31.5625,,,,
14.92,26.3542,,,,
15,25.5208,,,,
15.08,26.25,,,,
15.16,22.9167,,,,
15.24,27.6042,,,,
15.32,24.375,,,,
15.4,24.2708,,,,
15.48,27.0833,,,,
15.56,24.5833,,,,
15.64,24.8958,,,,
15.72,25.625,,,,
15.8,30.7292,,,,
15.88,27.5,,,,
15.96,31.3542,,,,
16.04,26.5625,,,,
16.12,31.5625,,,,
16.2,28.4375,,,,
16.28,27.9167,,,,
16.36,33.4375,,,,
16.44,34.1667,,,,
16.52,33.75,,,,
16.6,30.8333,,,,
16.68,34.375,,,,
16.76,42.9167,,,,
16.84,40.2083,,,,
16.92,47.3958,,,,
17,45.7292,,,,
17.08,51.5625,,,,
17.16,54.375,,,,
17.24,63.6458,,,,
17.32,75,,,,
17.4,74.7917,,,,
17.48,81.875,,,,
17.56,96.9792,,,,
17.64,102.917,,,,
17.72,109.792,,,,
17.8,117.188,,,,
17.88,126.771,,,,
17.96,127.917,,,,
18.04,134.271,,,,
18.12,133.438,,,,
18.2,138.229,,,,
18.28,132.396,,,,
18.36,132.292,,,,
18.44,130.104,,,,
18.52,120.938,,,,
18.6,110.521,,,,
18.68,107.396,,,,
18.76,104.479,,,,
18.84,89.1667,,,,
18.92,84.6875,,,,
19,77.5,,,,
19.08,71.9792,,,,
19.16,62.7083,,,,
19.24,60.3125,,,,
19.32,56.4583,,,,
19.4,50.9375,,,,
19.48,45.4167,,,,
19.56,44.1667,,,,
19.64,38.3333,,,,
19.72,39.7917,,,,
19.8,34.1667,,,,
19.88,32.5,,,,
19.96,33.5417,,,,
20.04,33.0208,,,,
20.12,30,,,,
20.2,28.3333,,,,
20.28,25.5208,,,,
20.36,26.6667,,,,
20.44,23.75,,,,
20.52,26.0417,,,,
20.6,20.2083,,,,
20.68,23.3333,,,,
20.76,24.375,,,,
20.84,24.2708,,,,
20.92,22.0833,,,,
21,24.375,,,,
21.08,20.3125,,,,
21.16,21.6667,,,,
21.24,20.5208,,,,
21.32,23.0208,,,,
21.4,21.5625,,,,
21.48,20.1042,,,,
21.56,20.1042,,,,
21.64,20.625,,,,
21.72,20.2083,,,,
21.8,18.4375,,,,
21.88,22.1875,,,,
21.96,16.9792,,,,
22.04,16.5625,,,,
22.12,18.75,,,,
22.2,20.2083,,,,
22.28,19.8958,,,,
22.36,19.4792,,,,
22.44,21.7708,,,,
22.52,17.5,,,,
22.6,17.9167,,,,
22.68,16.1458,,,,
22.76,19.2708,,,,
22.84,16.3542,,,,
22.92,16.7708,,,,
23,17.9167,,,,
23.08,19.8958,,,,
23.16,16.5625,,,,
23.24,14.8958,,,,
23.32,18.5417,,,,
23.4,17.0833,,,,
23.48,18.8542,,,,
23.56,18.8542,,,,
23.64,20.5208,,,,
23.72,18.0208,,,,
23.8,17.2917,,,,
23.88,17.7083,,,,
23.96,19.0625,,,,
24.04,18.6458,,,,
24.12,16.9792,,,,
24.2,18.4375,,,,
24.28,20.2083,,,,
24.36,19.0625,,,,
24.44,19.8958,,,,
24.52,20.8333,,,,
24.6,19.1667,,,,
24.68,20.4167,,,,
24.76,24.1667,,,,
24.84,23.5417,,,,
24.92,23.9583,,,,
25,25.3125,,,,
25.08,25.4167,,,,
25.16,28.75,,,,
25.24,27.5,,,,
25.32,27.3958,,,,
25.4,33.3333,,,,
