mode,ox/red,error,control changes,counter inc.,time/s,control/V,Ewe/V,<I>/mA,cycle number,(Q-Qo)/C,I Range,P/W,log(|I|),Tafel slope mV/dec,alpha_eff,E-IR/V,
2,0,0,0,0,2.222958787697947E+004,2.1736778E-005,-1.9920424E-004,-1.890745162963867E-001,6.100000000000000E+001,0.0000000E+000,10,3.7664446E-008,-3.7233670019728633, , ,0.00013923914417053216,
2,0,0,0,0,2.222961787697912E+004,1.7177951E-004,-2.6600985E-004,-1.663656062921695E-001,6.100000000000000E+001,-4.9332939E-006,10,4.4254890E-008,-3.778936452933647, , ,0.0000317845852629834,
2,0,0,1,0,2.222965807697862E+004,3.7183648E-004,1.1573655E-004,-1.442376499972784E-001,6.100000000000000E+001,-1.0750719E-005,10,-1.6693567E-008,-3.8409213620034057, , ,0.0003739219434951283,
2,0,0,1,0,2.222969807697821E+004,5.7189347E-004,2.5889144E-004,-1.269251443445683E-001,6.100000000000000E+001,-1.5770336E-005,10,-3.2859834E-008,-3.896452334025277, , ,0.0004860874483767773,
2,0,0,1,0,2.222973807697765E+004,7.7195041E-004,4.6885197E-004,-1.128220955023962E-001,6.100000000000000E+001,-2.0156083E-005,10,-5.2896862E-008,-3.9476058381625143, , ,0.0006708035209492892,
2,0,0,1,0,2.222977807697718E+004,9.7200740E-004,6.1200687E-004,-9.869960201333994E-002,6.100000000000000E+001,-2.3973536E-005,10,-6.0404837E-008,-4.005684598533594,-0.003161875236130427,-18.65981279900389,0.0007886791576038785,
2,0,0,1,0,2.222981807697669E+004,1.1720645E-003,8.5059833E-004,-8.609578842107141E-002,6.100000000000000E+001,-2.7276630E-005,10,-7.3232933E-008,-4.065018092567537,-0.00283819574139322,-20.787854459621567,0.0010047097912737179,
2,0,0,1,0,2.222985807697620E+004,1.3721214E-003,1.0128405E-003,-7.543251686254326E-002,6.100000000000000E+001,-3.0144744E-005,10,-7.6401108E-008,-4.122441401480945,-0.0026716666129635385,-22.083593706534522,0.0011478647051839524,
2,0,0,1,0,2.222989807697572E+004,1.5721783E-003,1.1750828E-003,-6.506129825126616E-002,6.100000000000000E+001,-3.2570559E-005,10,-7.6452409E-008,-4.186677274934651,-0.0025281152523449224,-23.3375436287073,0.0012915425238697665,
2,0,0,1,0,2.222993807697523E+004,1.7722353E-003,1.4423053E-003,-5.541048993413550E-002,6.100000000000000E+001,-3.4626646E-005,10,-7.9918841E-008,-4.2564080098337636,-0.002394273723366633,-24.642128184508078,0.0015414900769821025,
