mode,ox/red,error,control changes,counter inc.,time/s,control/V,Ewe/V,<I>/mA,cycle number,(Q-Qo)/C,I Range,P/W,log(|I|),Tafel slope mV/dec,alpha_eff,dI/d(E-IR),E-IR/V,
2,0,0,1,0,2.004133390347309E+004,2.4406487E-005,-3.8258548E-004,-3.735237717628479E-001,1.100000000000000E+001,0.0000000E+000,10,1.4290477E-007,-3.4276817536426782, , , ,-0.00038258548,
2,0,0,1,0,2.004160860346974E+004,2.9911907E-004,-8.3487110E-005,-2.448957811841912E-001,1.100000000000000E+001,-6.7868124E-005,10,2.0445642E-008,-3.6110186963951207, , , ,-0.00008348711,
2,0,0,1,0,2.004210800346371E+004,7.9851580E-004,4.3184921E-004,-1.971766446445300E-001,1.100000000000000E+001,-1.7100958E-004,10,-8.5150582E-008,-3.7051445280494697, , , ,0.00043184921,
2,0,0,1,0,2.004260740345767E+004,1.2979124E-003,8.9313881E-004,-1.770269634690362E-001,1.100000000000000E+001,-2.5824923E-004,10,-1.5810966E-007,-3.751960579999932, , , ,0.00089313881,
2,0,0,1,0,2.004310680345161E+004,1.7973311E-003,1.4382190E-003,-1.626022414797395E-001,1.100000000000000E+001,-3.3692096E-004,10,-2.3385763E-007,-3.7888734719303114, , , ,0.001438219,
2,0,0,1,0,2.004360620344558E+004,2.2967276E-003,1.9472056E-003,-1.476188356362345E-001,1.100000000000000E+001,-4.0815014E-004,10,-2.8744424E-007,-3.8308582245524447,-0.013325247517832222,-4.427685108366245,30.43142786659281,0.0019472056,
2,0,0,1,0,2.004410560343953E+004,2.7961242E-003,2.4752964E-003,-1.414232242288935E-001,1.100000000000000E+001,-4.7410472E-004,10,-3.5006440E-007,-3.8494792657424726,-0.01735002401642774,-3.40057166169547,20.265291771956814,0.0024752964,
2,0,0,1,0,2.004460500343348E+004,3.2955210E-003,2.9492599E-003,-1.342392577384894E-001,1.100000000000000E+001,-5.3685647E-004,10,-3.9590645E-007,-3.872120457893276,-0.019957514485368536,-2.956279953761512,16.29936316789252,0.0029492599,
2,0,0,1,0,2.004510440342745E+004,3.7949181E-003,3.4476537E-003,-1.272517416527572E-001,1.100000000000000E+001,-5.9599517E-004,10,-4.3871995E-007,-3.895336264904716,-0.021722975585200848,-2.716018335913187,14.043386993283214,0.0034476537,
2,0,0,1,0,2.004560380342137E+004,4.2943144E-003,3.9682905E-003,-1.215944031140004E-001,1.100000000000000E+001,-6.5192179E-004,10,-4.8252190E-007,-3.915086414805439,-0.024708491353956863,-2.387843076082896,11.468854531925109,0.0039682905,
2,0,0,1,0,2.004610320341535E+004,4.7937110E-003,4.4635250E-003,-1.154735584302455E-001,1.100000000000000E+001,-7.0497196E-004,10,-5.1541912E-007,-3.9375174507718036,-0.025226078975854084,-2.338849412803062,10.830546271034782,0.004463525,
