mode,ox/red,error,control changes,counter inc.,time/s,control/V,Ewe/V,<I>/mA,cycle number,(Q-Qo)/C,I Range,P/W,log(|I|),Tafel slope mV/dec,alpha_eff,dI/d(E-IR),E-IR/V,
2,0,0,1,0,1.169189571780735E+003,2.4406487E-005,-2.6806156E-004,-2.186488389968872E+000,1.000000000000000E+000,0.0000000E+000,11,5.8611346E-007,-2.660252824372561, , , ,-0.00026806156,
2,0,0,1,0,1.169196371780563E+003,2.9907466E-004,-8.6561653E-005,-1.429564273566942E+000,1.000000000000000E+000,-1.0428533E-005,11,1.2374545E-007,-2.84479631387861, , , ,-0.000086561653,
2,0,0,1,0,1.169208871780247E+003,7.9847127E-004,4.3130451E-004,-2.658509667064339E-001,1.000000000000000E+000,-2.0534886E-005,11,-1.1466272E-007,-3.575361756134055, , , ,0.00043130451,
2,1,0,1,0,1.169221371779931E+003,1.2978680E-003,9.7960141E-004,4.560218890934884E-001,1.000000000000000E+000,-1.9099909E-005,11,4.4671970E-007,-3.3410143106593364, , , ,0.00097960141,
2,1,0,1,0,1.169233771779618E+003,1.7954810E-003,1.4371857E-003,8.994953935200876E-001,1.000000000000000E+000,-1.0498996E-005,11,1.2927419E-006,-3.04600105641396, , , ,0.0014371857,
2,1,0,1,0,1.169246371779300E+003,2.2984447E-003,1.9779364E-003,1.218794807331591E+000,1.000000000000000E+000,2.9831831E-006,11,2.4106985E-006,-2.914069404754615,0.07669181654717488,0.7693128505269888,742.8098404132078,0.0019779364,
2,1,0,1,0,1.169258771778987E+003,2.7942744E-003,2.5330023E-003,1.422433519713762E+000,1.000000000000000E+000,1.9494864E-005,11,3.6030274E-006,-2.8469680220830873,0.005179061174280817,11.392026086309542,465.9468905620368,0.0025330023,
2,1,0,1,0,1.169271371778668E+003,3.2990216E-003,3.0180248E-003,1.510683277960025E+000,1.000000000000000E+000,3.8058381E-005,11,4.5592797E-006,-2.8208265780516615,0.007127770846459686,8.277482718079368,301.9978449462943,0.0030180248,
2,1,0,1,0,1.169283771778355E+003,3.7948512E-003,3.5306558E-003,1.576405954458536E+000,1.000000000000000E+000,5.7280806E-005,11,5.5657470E-006,-2.80233193337025,0.015225986408625429,3.874954201100354,188.3404630250715,0.0035306558,
2,1,0,1,0,1.169296271778039E+003,4.2942478E-003,4.0146974E-003,1.616891309085212E+000,1.000000000000000E+000,7.7310644E-005,11,6.4913293E-006,-2.7913191733224565,0.028453779363210564,2.0735382546855727,116.56004268219715,0.0040146974,
2,1,0,1,0,1.169308771777723E+003,4.7945366E-003,4.5277979E-003,1.642897390572003E+000,1.000000000000000E+000,9.7754797E-005,11,7.4387076E-006,-2.784389560180248,0.0503854754602428,1.170972377675677,71.27910318495867,0.0045277979,
2,1,0,1,0,1.169321171777410E+003,5.2912580E-003,4.9956073E-003,1.668847013165113E+000,1.000000000000000E+000,1.1834922E-004,11,8.3369041E-006,-2.7775834742156085,0.07656001181293583,0.7706372896618489,48.2695685439705,0.0049956073,
2,1,0,1,0,1.169333771777092E+003,5.7942215E-003,5.5300514E-003,1.670347614557521E+000,1.000000000000000E+000,1.3944245E-004,11,9.2371083E-006,-2.777193138807951,0.10867113733951703,0.542922448816088,34.83821131854253,0.0055300514,
2,1,0,1,0,1.169346171776779E+003,6.2900507E-003,5.9973504E-003,1.687297874729012E+000,1.000000000000000E+000,1.6031851E-004,11,1.0119316E-005,-2.7728082405102294,0.1387728973451201,0.42515506362362987,27.74614175548477,0.0059973504,
2,1,0,1,0,1.169358671776463E+003,6.7912312E-003,6.5057590E-003,1.705608054461798E+000,1.000000000000000E+000,1.8158538E-004,11,1.1096275E-005,-2.768120761762308,0.1834633232293601,0.32159016288089387,21.141543390107397,0.006505759,
2,1,0,1,0,1.169371171776147E+003,7.2906283E-003,7.0031844E-003,1.703045212430887E+000,1.000000000000000E+000,2.0294166E-004,11,1.1926740E-005,-2.7687738222378666,0.2303134016932147,0.2561726741311824,17.024958805073318,0.0070031844,
2,1,0,1,0,1.169383671775831E+003,7.7900249E-003,7.4775387E-003,1.713908294978278E+000,1.000000000000000E+000,2.2436293E-004,11,1.2815815E-005,-2.766012419315024,0.22829573535954711,0.2584367154606713,17.19097308286711,0.0074775387,
2,1,0,1,0,1.169396171775516E+003,8.2912054E-003,8.0473619E-003,1.728782189954523E+000,1.000000000000000E+000,2.4593694E-004,11,1.3912136E-005,-2.76225972023652,0.26438766614111237,0.2231571572953398,14.954769006391619,0.0080473619,
2,1,0,1,0,1.169408571775202E+003,8.7870341E-003,8.4960843E-003,1.726793089681976E+000,1.000000000000000E+000,2.6742453E-004,11,1.4670980E-005,-2.762759697981366,0.3040586789182623,0.19404149294439477,13.114320741495593,0.0084960843,
2,1,0,1,0,1.169421171774884E+003,9.2899986E-003,9.0232017E-003,1.737416641908657E+000,1.000000000000000E+000,2.8931419E-004,11,1.5677060E-005,-2.7600960228975784,0.29800753311907174,0.19798157242027162,13.365681978680554,0.0090232017,
2,1,0,1,0,1.169433571774571E+003,9.7858282E-003,9.5235612E-003,1.738999934035487E+000,1.000000000000000E+000,3.1092259E-004,11,1.6561473E-005,-2.7597004344711373,0.3366010992631506,0.1752816616735839,11.886642233177378,0.0095235612,
2,1,0,1,0,1.169446071774255E+003,1.0287008E-002,1.0011462E-002,1.747327986472889E+000,1.000000000000000E+000,3.3278047E-004,11,1.7493308E-005,-2.75762556705731,0.48111767155827256,0.12263112225520065,8.351712212598855,0.010011462,
