mode,ox/red,error,control changes,counter inc.,time/s,control/V,Ewe/V,<I>/mA,cycle number,(Q-Qo)/C,I Range,P/W,log(|I|),Tafel slope mV/dec,alpha_eff,E-IR/V,
2,1,0,0,0,2.481917938618426E+003,2.4406487E-005,-2.6806156E-004,1.263972669839859E-001,2.000000000000000E+000,0.0000000E+000,10,-3.3882248E-008,-3.8982623164539976, , ,-0.0003691793735871887,
2,1,0,0,0,2.481972938617037E+003,2.9907463E-004,-4.3255361E-005,1.882218979471537E-001,2.000000000000000E+000,1.1443698E-005,10,-8.1416065E-009,-3.725329851661253, , ,-0.000193832879357723,
2,1,0,1,0,2.482072838614513E+003,7.9858233E-004,4.2760529E-004,2.056989460320615E-001,2.000000000000000E+000,3.3743625E-005,10,8.7957957E-008,-3.686767933553854, , ,0.00026304613317435074,
2,1,0,1,0,2.482172738611989E+003,1.2978679E-003,9.8851998E-004,2.086249784462977E-001,2.000000000000000E+000,5.6981949E-005,10,2.0622996E-007,-3.680633695181023, , ,0.0008216199972429618,
2,1,0,1,0,2.482272638609466E+003,1.7977094E-003,1.4841455E-003,2.146973795276781E-001,2.000000000000000E+000,8.0715683E-005,10,3.1864215E-007,-3.668173256279236, , ,0.0013123875963778576,
2,1,0,1,0,2.482372438606944E+003,2.2964387E-003,1.9913197E-003,2.385204496154154E-001,2.000000000000000E+000,1.0597311E-004,10,4.7497048E-007,-3.6224743806724753,0.04448841976413109,1.3261878105090372,0.0018005033403076676,
2,1,0,1,0,2.482472338604421E+003,2.7960576E-003,2.5155055E-003,2.244477599031405E-001,2.000000000000000E+000,1.3182724E-004,10,5.6459959E-007,-3.6488847247090193,0.07307672130623685,0.8073706502615703,0.0023359472920774877,
2,1,0,1,0,2.482572238601897E+003,3.2955657E-003,3.0267746E-003,2.293398269076961E-001,2.000000000000000E+000,1.5696864E-004,10,6.9415995E-007,-3.639520519608039,0.0774702847693425,0.7615823302530083,0.002843302738473843,
2,1,0,0,0,2.482672138599373E+003,3.7948508E-003,3.5091063E-003,2.287851342655447E-001,2.000000000000000E+000,1.8233125E-004,10,8.0283138E-007,-3.6405721980441688,0.09645678785866461,0.6116728672994068,0.003326078192587564,
2,1,0,1,0,2.482772038596850E+003,4.2946921E-003,4.0164669E-003,2.318140348183082E-001,2.000000000000000E+000,2.0787958E-004,10,9.3107337E-007,-3.634860273896027,0.8959361759002649,0.06585290513659071,0.003831015672145353,
2,1,0,1,0,2.482871838594328E+003,4.7934218E-003,4.5757806E-003,2.342524494880689E-001,2.000000000000000E+000,2.3364864E-004,10,1.0718878E-006,-3.6303158591655205,0.1199395709940186,0.4919143824763416,0.004388378640409545,
2,1,0,0,0,2.482971738591805E+003,5.2930405E-003,5.0435145E-003,2.351984590016016E-001,2.000000000000000E+000,2.5964022E-004,10,1.1862269E-006,-3.6285655280435756,0.14687616156090844,0.4016989508235013,0.004855355732798719,
2,1,0,1,0,2.483071638589288E+003,5.7925489E-003,5.5092098E-003,2.362529075016753E-001,2.000000000000000E+000,2.8565025E-004,10,1.3015668E-006,-3.6266228380391703,0.1322085083450866,0.4462647732625498,0.00532020747399866,
2,1,0,1,0,2.483171538586757E+003,6.2918342E-003,6.0233297E-003,2.410037130876272E-001,2.000000000000000E+000,3.1198293E-004,10,1.4516448E-006,-3.6179762663004635,0.15504136269026708,0.3805436109192802,0.005830526729529898,
2,1,0,0,0,2.483271338584236E+003,6.7912308E-003,6.4612781E-003,2.420448836647038E-001,2.000000000000000E+000,3.3858322E-004,10,1.5639193E-006,-3.6161040930258626,0.16381757020001242,0.3601567275595907,0.006267642193068236,
2,1,0,1,0,2.483371238581713E+003,7.2904043E-003,7.0009115E-003,2.440378348340699E-001,2.000000000000000E+000,3.6531023E-004,10,1.7084873E-006,-3.6125428368339985,0.19357800012353588,0.30478670077357917,0.0068056812321327445,
2,1,0,1,0,2.483471138579189E+003,7.7900239E-003,7.5577376E-003,2.454426792898667E-001,2.000000000000000E+000,3.9228404E-004,10,1.8549914E-006,-3.610049916880178,0.15217472093124806,0.387712227359076,0.007361383456568107,
2,1,0,1,0,2.483571038576665E+003,8.2896426E-003,8.0213174E-003,2.459786930942602E-001,2.000000000000000E+000,4.1931801E-004,10,1.9730733E-006,-3.609102510263897,0.21320072834424317,0.2767345142683379,0.007824534445524592,
2,1,0,0,0,2.483670938574141E+003,8.7888166E-003,8.5237687E-003,2.475819350047805E-001,2.000000000000000E+000,4.4658306E-004,10,2.1103313E-006,-3.6062810471073306,0.2167987479040602,0.27214179311639397,0.008325703151996176,
2,1,0,1,0,2.483770738571620E+003,9.2882141E-003,9.0073142E-003,2.465268089008581E-001,2.000000000000000E+000,4.7385696E-004,10,2.2205445E-006,-3.608135845860906,0.26618862656222725,0.22164733618401797,0.008810092752879313,
2,1,0,1,0,2.483870638569097E+003,9.7873881E-003,9.5013278E-003,2.509191679565346E-001,2.000000000000000E+000,5.0132553E-004,10,2.3840653E-006,-3.600466161245037,0.3658954136560609,0.161248263295969,0.009300592465634774,
2,1,0,0,0,2.483970538566573E+003,1.0287007E-002,9.9913711E-003,2.515335874976934E-001,2.000000000000000E+000,5.2889384E-004,10,2.5131653E-006,-3.599404015017726,0.27886485390798416,0.21157201839234993,0.009790144230001846,
2,1,0,1,0,2.484070438564049E+003,1.0786626E-002,1.0506962E-002,2.526491189591420E-001,2.000000000000000E+000,5.5655156E-004,10,2.6545747E-006,-3.597482211899727,0.2720065028698393,0.21690657898804983,0.010304842704832687,
2,1,0,1,0,2.484170338561526E+003,1.1285800E-002,1.1035871E-002,2.526907993618543E-001,2.000000000000000E+000,5.8430189E-004,10,2.7886631E-006,-3.5974105707398416,0.2768010593093719,0.2131494732975626,0.010833718360510516,
2,1,0,0,0,2.484270138559004E+003,1.1785198E-002,1.1509873E-002,2.516157699062007E-001,2.000000000000000E+000,6.1206287E-004,10,2.8960656E-006,-3.599262143160726,0.4417979755948607,0.1335452022399134,0.01130858038407504,
2,1,0,1,0,2.484370038556481E+003,1.2284482E-002,1.1984953E-002,2.541484799826939E-001,2.000000000000000E+000,6.3988200E-004,10,3.0459576E-006,-3.5949124833923323,0.295904709528335,0.19938851292378748,0.011781634216013845,
2,1,0,1,0,2.484469938553957E+003,1.2783989E-002,1.2500291E-002,2.560432228708160E-001,2.000000000000000E+000,6.6790183E-004,10,3.2006146E-006,-3.5916867148843,0.3435477818876213,0.17173739174162278,0.012295456421703347,
2,1,0,1,0,2.484569838551433E+003,1.3283608E-002,1.3003084E-002,2.548447218923651E-001,2.000000000000000E+000,6.9602969E-004,10,3.3137674E-006,-3.593724356686841,0.20019116586461144,0.29471829960719387,0.012799208222486107,
2,1,0,0,0,2.484669738548910E+003,1.3782784E-002,1.3504497E-002,2.562036750562222E-001,2.000000000000000E+000,7.2428025E-004,10,3.4599018E-006,-3.591414644906747,0.25314172531652906,0.23307101950982695,0.013299534059955024,
2,1,0,1,0,2.484769538546389E+003,1.4282180E-002,1.3985921E-002,2.594621403940653E-001,2.000000000000000E+000,7.5262808E-004,10,3.6288170E-006,-3.5859260035861404,0.28896419879742336,0.20417754256596193,0.013778351287684749,
2,1,0,1,0,2.484869438543865E+003,1.4781467E-002,1.4485136E-002,2.594666796342657E-001,2.000000000000000E+000,7.8115467E-004,10,3.7584100E-006,-3.5859184057542417,0.27965561012512075,0.21097377582950258,0.014277562656292587,
2,1,0,0,0,2.484969338541341E+003,1.5280974E-002,1.4996490E-002,2.644397045175244E-001,2.000000000000000E+000,8.0983195E-004,10,3.9656675E-006,-3.577673336787432,0.25724340765372183,0.22935475990669718,0.01478493823638598,
