mode,ox/red,error,control changes,counter inc.,time/s,control/V,Ewe/V,<I>/mA,cycle number,(Q-Qo)/C,I Range,P/W,log(|I|),Tafel slope mV/dec,alpha_eff,E-IR/V,
2,0,0,0,0,6.501429240945261E+004,2.4406487E-005,-3.8258548E-004,-1.044822931289673E-001,9.900000000000000E+001,0.0000000E+000,10,3.9973408E-008,-3.980957304270303, , ,-0.0003366132710232544,
2,0,0,0,0,6.501434740945272E+004,2.9907463E-004,-1.0263817E-004,-6.735088266496912E-003,9.900000000000000E+001,-2.8250329E-007,10,6.9127709E-010,-5.171656708270416, , ,-0.00009967473116274136,
2,1,0,1,0,6.501444730945292E+004,7.9858251E-004,4.2124998E-004,6.500754291133237E-002,9.900000000000000E+001,4.2151437E-006,10,2.7384425E-008,-4.187036248669275, , ,0.0003926466611190138,
2,1,0,1,0,6.501454720945307E+004,1.2978679E-003,9.1005012E-004,9.467811657426228E-002,9.900000000000000E+001,1.3582632E-005,10,8.6161833E-008,-4.023750390049469, , ,0.0008683917487073246,
2,1,0,1,0,6.501464710945333E+004,1.7977095E-003,1.3845430E-003,1.120278125035488E-001,9.900000000000000E+001,2.5203199E-005,10,1.5510733E-007,-3.95067414413941, , ,0.0013352507624984386,
2,1,0,1,0,6.501474690945353E+004,2.2964387E-003,1.9245781E-003,1.301835369551876E-001,9.900000000000000E+001,3.8622482E-005,10,2.5054840E-007,-3.8854439332914956,0.003000061057216466,19.666266410838226,0.0018672973437397174,
2,1,0,1,0,6.501484680945368E+004,2.7960578E-003,2.4529414E-003,1.355976268511125E-001,9.900000000000000E+001,5.3323860E-005,10,3.3261304E-007,-3.8677479111657505,0.01135082080627144,5.19786198786628,0.0023932784441855104,
2,1,0,1,0,6.501494670945406E+004,3.2955657E-003,2.9727863E-003,1.383406224372806E-001,9.900000000000000E+001,6.8304646E-005,10,4.1125710E-007,-3.859050274627642,0.019901315630090535,2.9646281229162934,0.0029119164261275964,
2,1,0,0,0,6.501504660945403E+004,3.7948508E-003,3.4677505E-003,1.400159886451786E-001,9.900000000000000E+001,8.3531835E-005,10,4.8554051E-007,-3.853822368722487,0.03009834400418465,1.9602407358955387,0.0034061434649961214,
2,1,0,1,0,6.501514650945424E+004,4.2946930E-003,3.9686640E-003,1.455722007233900E-001,9.900000000000000E+001,9.9105273E-005,10,5.7772712E-007,-3.8369215523933784,0.05017490796353617,1.1758865615234875,0.0039046122316817086,
2,1,0,1,0,6.501524630945455E+004,4.7934223E-003,4.4853394E-003,1.471710699231616E-001,9.900000000000000E+001,1.1500235E-004,10,6.6011222E-007,-3.8321775528215425,0.057119515515953664,1.0329219263689502,0.0044205841292338085,
2,1,0,0,0,6.501534620945458E+004,5.2930410E-003,4.9661053E-003,1.509433660518240E-001,9.900000000000000E+001,1.3124292E-004,10,7.4960064E-007,-3.821185969427216,0.0588730626077067,1.0021561200771756,0.004899690218937197,
2,1,0,1,0,6.501544610945485E+004,5.7925493E-003,5.4476755E-003,1.526606378500031E-001,9.900000000000000E+001,1.4769059E-004,10,8.3164559E-007,-3.8162729273719647,0.05718450664538974,1.0317479936631861,0.0053805048193459985,
2,1,0,1,0,6.501554600945499E+004,6.2918337E-003,5.9544034E-003,1.565454466337409E-001,9.900000000000000E+001,1.6440584E-004,10,9.3213475E-007,-3.805359559989573,0.0656185219944961,0.8991363750154073,0.005885523403481154,
2,1,0,0,0,6.501564580945531E+004,6.7912308E-003,6.4443112E-003,1.592017282257925E-001,9.900000000000000E+001,1.8145877E-004,10,1.0259455E-006,-3.7980522220578266,0.06551666053510201,0.9005342994914924,0.006374262439580652,
2,1,0,1,0,6.501574570945534E+004,7.2904052E-003,6.9891368E-003,1.618060901434469E-001,9.900000000000000E+001,1.9878155E-004,10,1.1308849E-006,-3.7910051362100443,0.07771645000188311,0.7591700341249554,0.0069179421203368835,
2,1,0,1,0,6.501584560945560E+004,7.7900239E-003,7.4326103E-003,1.641822479044399E-001,9.900000000000000E+001,2.1638107E-004,10,1.2203027E-006,-3.7846738024780193,0.07501782537537482,0.7864797427114862,0.0073603701109220465,
2,1,0,1,0,6.501594550945563E+004,8.2896436E-003,7.9324069E-003,1.672395588976812E-001,9.900000000000000E+001,2.3425295E-004,10,1.3266123E-006,-3.7766609865925367,0.08234252114454389,0.716519231861161,0.00785882149408502,
2,1,0,0,0,6.501604540945590E+004,8.7888176E-003,8.4325727E-003,1.690143308671259E-001,9.900000000000000E+001,2.5232651E-004,10,1.4252256E-006,-3.772076469631031,0.08757378745306359,0.673717578237916,0.008358206394418465,
2,1,0,1,0,6.501614520945610E+004,9.2882141E-003,8.9744404E-003,1.699350298856250E-001,9.900000000000000E+001,2.7054630E-004,10,1.5250718E-006,-3.7697170877706787,0.08960681642755688,0.6584320518484089,0.008899668986850325,
2,1,0,1,0,6.501624510945636E+004,9.7873891E-003,9.4831986E-003,1.727441967473131E-001,9.900000000000000E+001,2.8899504E-004,10,1.6381675E-006,-3.7625965336090634,0.10405977845161982,0.5669817952517617,0.009407191153431181,
2,1,0,0,0,6.501634500945662E+004,1.0287007E-002,9.9372901E-003,1.749491527400633E-001,9.900000000000000E+001,3.0766628E-004,10,1.7385205E-006,-3.757088156417464,0.11953342070057639,0.49358580766956583,0.009860312472794371,
2,1,0,1,0,6.501644490945665E+004,1.0786626E-002,1.0409401E-002,1.766595802985655E-001,9.900000000000000E+001,3.2653025E-004,10,1.8389204E-006,-3.7528628056789928,0.1145124985907153,0.5152276015815075,0.010331670784668632,
2,1,0,1,0,6.501654480945668E+004,1.1285801E-002,1.0936193E-002,1.790436146677363E-001,9.900000000000000E+001,3.4557076E-004,10,1.9580555E-006,-3.7470411628621663,0.10609555420531706,0.5561024723601771,0.010857413809546195,
2,1,0,0,0,6.501664460945711E+004,1.1785198E-002,1.1493967E-002,1.795932904445241E-001,9.900000000000000E+001,3.6476762E-004,10,2.0642394E-006,-3.7457098924869228,0.11743002972563199,0.5024268505922195,0.01141494595220441,
2,1,0,1,0,6.501674450945714E+004,1.2284484E-002,1.1948714E-002,1.806714119383825E-001,9.900000000000000E+001,3.8403081E-004,10,2.1587909E-006,-3.7431105614381535,0.11978100880108335,0.49256556269265933,0.01186921857874711,
2,1,0,1,0,6.501684440945741E+004,1.2783990E-002,1.2455756E-002,1.832323014839656E-001,9.900000000000000E+001,4.0351605E-004,10,2.2822969E-006,-3.736997963421105,0.12947255646020975,0.4556950261357681,0.012375133787347056,
2,1,0,1,0,6.501694430945767E+004,1.3283610E-002,1.2924802E-002,1.851202522971656E-001,9.900000000000000E+001,4.2321841E-004,10,2.3926427E-006,-3.7325460664995416,0.11931113799771495,0.49450538306934905,0.012843349088989249,
2,1,0,0,0,6.501704420945770E+004,1.3782782E-002,1.3477987E-002,1.867967301255291E-001,9.900000000000000E+001,4.4309741E-004,10,2.5176439E-006,-3.7286307303589687,0.11762635045685292,0.5015882901309776,0.013395796438744768,
2,1,0,1,0,6.501714400945802E+004,1.4282180E-002,1.3961533E-002,1.889978685587241E-001,9.900000000000000E+001,4.6311496E-004,10,2.6386999E-006,-3.7235430935960907,0.12358468905337427,0.47740541690013744,0.013878373937834162,
2,1,0,1,0,6.501724390945816E+004,1.4781467E-002,1.4440927E-002,1.897713769624252E-001,9.900000000000000E+001,4.8335324E-004,10,2.7404747E-006,-3.721769291195828,0.1276787546947392,0.4620972388167489,0.014357427594136532,
2,1,0,0,0,6.501734380945831E+004,1.5280974E-002,1.4946652E-002,1.934279549901405E-001,9.900000000000000E+001,5.0382264E-004,10,2.8911002E-006,-3.7134807597224793,0.1329395376506353,0.44381078077051705,0.014861543699804337,
2,1,0,1,0,6.501744370945846E+004,1.5780594E-002,1.5451512E-002,1.940354753820066E-001,9.900000000000000E+001,5.2450498E-004,10,2.9981416E-006,-3.7121188610277187,0.1341578006477126,0.4397806144342599,0.015366136390831918,
2,1,0,1,0,6.501754350945866E+004,1.6279323E-002,1.5966382E-002,1.946923786735857E-001,9.900000000000000E+001,5.4524816E-004,10,3.1085328E-006,-3.710651048812734,0.14615507409552242,0.4036808189186742,0.015880717353383624,
2,1,0,0,0,6.501764340945892E+004,1.6779162E-002,1.6445003E-002,1.968790092333048E-001,9.900000000000000E+001,5.6612463E-004,10,3.2376761E-006,-3.705800584827355,0.1501567284493331,0.39292278547416665,0.016358376235937347,
2,1,0,1,0,6.501774330945918E+004,1.7278448E-002,1.6933756E-002,1.984111909314752E-001,9.900000000000000E+001,5.8716122E-004,10,3.3598467E-006,-3.7024338360995754,0.16341286518493742,0.36104868446697014,0.01684645507599015,
2,1,0,1,0,6.501784320945933E+004,1.7777955E-002,1.7438605E-002,1.999163555188304E-001,9.900000000000000E+001,6.0839212E-004,10,3.4862624E-006,-3.6991516740108996,0.15327458378490147,0.38493009436448966,0.017350641803571713,
2,1,0,1,0,6.501794310945948E+004,1.8277688E-002,1.7919388E-002,2.011408046180019E-001,9.900000000000000E+001,6.2966946E-004,10,3.6043200E-006,-3.696499816907998,0.1436018557852216,0.41085820010740987,0.01783088604596808,
2,1,0,1,0,6.501804290945968E+004,1.8776307E-002,1.8453982E-002,2.018000348834400E-001,9.900000000000000E+001,6.5101864E-004,10,3.7240141E-006,-3.695078763026342,0.14715954010968654,0.4009254171086963,0.018365189984651288,
2,1,0,1,0,6.501814280945982E+004,1.9276148E-002,1.8895606E-002,2.044819505126387E-001,9.900000000000000E+001,6.7259622E-004,10,3.8638104E-006,-3.6893450208532874,0.16036223018981163,0.36791705833826993,0.01880563394177444,
2,1,0,1,0,6.501824270946020E+004,1.9775432E-002,1.9464867E-002,2.060775379012547E-001,9.900000000000000E+001,6.9441902E-004,10,4.0112718E-006,-3.6859693429959735,0.15293538069666818,0.3857838502198554,0.019374192883323448,
2,1,0,0,0,6.501834260946023E+004,2.0274939E-002,1.9945405E-002,2.075001540835260E-001,9.900000000000000E+001,7.1638892E-004,10,4.1386747E-006,-3.6829815764574296,0.14491197039240147,0.40714372898412876,0.01985410493220325,
2,1,0,1,0,6.501844250946026E+004,2.0774672E-002,2.0458853E-002,2.096219776980270E-001,9.900000000000000E+001,7.3852256E-004,10,4.2886254E-006,-3.678563185941167,0.1343126098218185,0.43927372179179935,0.020366619329812867,
2,1,0,1,0,6.501854230946064E+004,2.1273291E-002,2.0946937E-002,2.101646357774081E-001,9.900000000000000E+001,7.6079502E-004,10,4.4023054E-006,-3.677440360519174,0.14417684124132987,0.4092196742002626,0.02085446456025794,
