波長 (nm),0 mV,50 mV,100 mV,150 mV,200 mV,300 mV,400 mV,500 mV,600 mV,700 mV,800 mV,100-0,200-100,300-200,400-300,500-400,600-500,700-600,800-700,800 - 500,500 - 300,Raw data name,Mod column name
300,0.018,0.001,0.05,0.024,0.055,-0.001,0.071,0.072,0.035,0.037,0.014,0.032,0.005,-0.056,0.072,0.001,-0.037,0.002,-0.023,-0.058,0.073,20221215_1-140_006_0mV.spc - RawData,0 mV
301,-0.047,-0.054,-0.077,-0.086,-0.073,-0.073,-0.067,-0.032,-0.06,-0.068,-0.047,-0.03,0.004,0,0.006,0.035,-0.028,-0.008,0.021,-0.015,0.042,20221215_1-140_007_300mV.spc - RawData,300 mV
302,0.015,0.002,-0.049,0.036,0.021,0.029,0.004,-0.005,0.019,0.027,0.043,-0.064,0.07,0.008,-0.025,-0.009,0.024,0.008,0.016,0.049,-0.035,20221215_1-140_008_100mV.spc - RawData,100 mV
303,0.019,-0.026,0.028,-0.012,-0.001,0.032,-0.003,0.034,0.009,0.014,-0.011,0.009,-0.029,0.033,-0.035,0.037,-0.025,0.005,-0.025,-0.045,0.002,20221215_1-140_009_50mV.spc - RawData,50 mV
304,0.017,0.027,0.032,0.036,0.009,0.035,0.045,0.019,0.043,0.04,0.034,0.015,-0.023,0.026,0.01,-0.026,0.024,-0.003,-0.006,0.015,-0.016,20221215_1-140_010_200mV.spc - RawData,200 mV
305,-0.017,0.02,0.002,-0.02,-0.006,-0.009,0,-0.017,0.031,-0.001,-0.01,0.019,-0.008,-0.003,0.009,-0.017,0.048,-0.032,-0.009,0.007,-0.008,20221215_1-140_011_150mV.spc - RawData,150 mV
306,-0.015,-0.017,-0.02,-0.025,0.005,-0.024,0.012,0.014,0.001,-0.02,0.006,-0.005,0.025,-0.029,0.036,0.002,-0.013,-0.021,0.026,-0.008,0.038,20221215_1-140_012_400mV.spc - RawData,400 mV
307,0.026,0.022,0.044,0.013,0.005,0.014,0.049,0.022,0.055,0.046,0.028,0.018,-0.039,0.009,0.035,-0.027,0.033,-0.009,-0.018,0.006,0.008,20221215_1-140_013_500mV.spc - RawData,500 mV
308,0.004,-0.008,-0.053,0.023,0.018,0.007,0.006,0.032,0.008,-0.008,0.001,-0.057,0.071,-0.011,-0.001,0.026,-0.024,-0.016,0.009,-0.03,0.025,20221215_1-140_014_600mV.spc - RawData,600 mV
309,0.04,0.052,0.014,0.055,0.063,0.041,0.09,0.05,0.026,0.035,0.045,-0.026,0.049,-0.022,0.049,-0.04,-0.024,0.009,0.01,-0.006,0.009,20221215_1-140_016_700mV.spc - RawData,700 mV
310,0.024,0.022,0.037,0.056,0.039,-0.012,0.051,0.05,0.082,0.05,0.053,0.013,0.002,-0.051,0.063,-0.001,0.032,-0.032,0.003,0.003,0.062,20221215_1-140_017_800mV.spc - RawData,800 mV
311,-0.01,-0.003,0.023,0.016,0.004,0.021,0.02,0.02,0.024,0.022,0.033,0.033,-0.019,0.017,-0.001,0,0.004,-0.002,0.011,0.014,-0.002,20221215_1-140_017_800mV.spc - 800 mV - 500 mV,800 - 500
312,0.004,-0.009,0.002,0.04,0.037,0.04,0.016,0.047,0.014,0.027,0.001,-0.002,0.035,0.003,-0.024,0.031,-0.033,0.013,-0.026,-0.046,0.007,20221215_1-140_013_500mV.spc - 500 mV - 300 mV,500 - 300
313,0.009,0.016,0.025,-0.006,0.014,0.034,0.08,0.056,0.007,0.022,0.026,0.016,-0.011,0.02,0.046,-0.024,-0.049,0.015,0.004,-0.03,0.021,,100-0
314,0.029,0.011,0.022,0.022,-0.003,0.044,0.055,0.035,0.015,0.049,0.035,-0.007,-0.025,0.047,0.011,-0.02,-0.02,0.034,-0.014,0,-0.009,,200-100
315,-0.027,-0.005,-0.002,0.005,0.014,0.02,0.019,-0.004,0.027,0.005,0.031,0.025,0.016,0.006,-0.001,-0.023,0.031,-0.022,0.026,0.035,-0.024,,300-200
