E step/V	I delta/uA	
3.9951798E-001	0.0000000E+000
3.9951798E-001	6.2016636E+003
4.0020514E-001	0.0000000E+000
4.0020514E-001	6.2101270E+003
4.0070140E-001	0.0000000E+000
4.0070140E-001	6.2082441E+003
4.0102589E-001	0.0000000E+000
4.0102589E-001	6.2060151E+003
4.0152216E-001	0.0000000E+000
4.0152216E-001	6.2051899E+003
4.0199935E-001	0.0000000E+000
4.0199935E-001	6.2047490E+003
4.0253380E-001	0.0000000E+000
4.0253380E-001	6.2030298E+003
4.0324003E-001	0.0000000E+000
4.0324003E-001	6.2049570E+003
4.0365994E-001	0.0000000E+000
4.0365994E-001	6.2043086E+003
4.0411803E-001	0.0000000E+000
4.0411803E-001	6.2045039E+003
4.0467158E-001	0.0000000E+000
4.0467158E-001	6.2050576E+003
4.0514874E-001	0.0000000E+000
4.0514874E-001	6.2047554E+003
4.0564501E-001	0.0000000E+000
4.0564501E-001	6.2045664E+003
4.0608403E-001	0.0000000E+000
4.0608403E-001	6.2055552E+003
4.0667573E-001	0.0000000E+000
4.0667573E-001	6.2075513E+003
4.0711474E-001	0.0000000E+000
4.0711474E-001	6.2075073E+003
4.0761101E-001	0.0000000E+000
4.0761101E-001	6.2110967E+003
4.0805003E-001	0.0000000E+000
4.0805003E-001	6.2103726E+003
4.0867990E-001	0.0000000E+000
4.0867990E-001	6.2117578E+003
4.0906164E-001	0.0000000E+000
4.0906164E-001	6.2096606E+003
4.0961519E-001	0.0000000E+000
4.0961519E-001	6.2114810E+003
4.1016871E-001	0.0000000E+000
4.1016871E-001	6.2127026E+003
4.1055048E-001	0.0000000E+000
4.1055048E-001	6.2139810E+003
4.1119942E-001	0.0000000E+000
4.1119942E-001	6.2143901E+003
4.1160026E-001	0.0000000E+000
4.1160026E-001	6.2163301E+003
4.1217288E-001	0.0000000E+000
4.1217288E-001	6.2171484E+003
4.1257372E-001	0.0000000E+000
4.1257372E-001	6.2168901E+003
4.1310817E-001	0.0000000E+000
4.1310817E-001	6.2186978E+003
4.1356626E-001	0.0000000E+000
4.1356626E-001	6.2180488E+003
4.1406253E-001	0.0000000E+000
4.1406253E-001	6.2192642E+003
4.1463515E-001	0.0000000E+000
4.1463515E-001	6.2218149E+003
4.1511235E-001	0.0000000E+000
4.1511235E-001	6.2213804E+003
4.1560861E-001	0.0000000E+000
4.1560861E-001	6.2243213E+003
4.1606671E-001	0.0000000E+000
4.1606671E-001	6.2270293E+003
4.1648662E-001	0.0000000E+000
4.1648662E-001	6.2281372E+003
4.1709742E-001	0.0000000E+000
4.1709742E-001	6.2290762E+003
4.1768911E-001	0.0000000E+000
4.1768911E-001	6.2309902E+003
4.1816631E-001	0.0000000E+000
4.1816631E-001	6.2331250E+003
4.1866258E-001	0.0000000E+000
4.1866258E-001	6.2361855E+003
4.1915885E-001	0.0000000E+000
4.1915885E-001	6.2365195E+003
4.1965511E-001	0.0000000E+000
4.1965511E-001	6.2383330E+003
4.2024684E-001	0.0000000E+000
4.2024684E-001	6.2410029E+003
4.2059040E-001	0.0000000E+000
4.2059040E-001	6.2443911E+003
4.2114392E-001	0.0000000E+000
4.2114392E-001	6.2452285E+003
4.2158294E-001	0.0000000E+000
4.2158294E-001	6.2468281E+003
4.2221281E-001	0.0000000E+000
4.2221281E-001	6.2503359E+003
4.2265183E-001	0.0000000E+000
4.2265183E-001	6.2500522E+003
4.2310992E-001	0.0000000E+000
4.2310992E-001	6.2523760E+003
4.2372072E-001	0.0000000E+000
4.2372072E-001	6.2555059E+003
4.2415974E-001	0.0000000E+000
4.2415974E-001	6.2563999E+003
4.2463690E-001	0.0000000E+000
4.2463690E-001	6.2606694E+003
4.2524770E-001	0.0000000E+000
4.2524770E-001	6.2618345E+003
4.2568672E-001	0.0000000E+000
4.2568672E-001	6.2641016E+003
4.2614481E-001	0.0000000E+000
4.2614481E-001	6.2669292E+003
4.2660290E-001	0.0000000E+000
4.2660290E-001	6.2699893E+003
4.2713735E-001	0.0000000E+000
4.2713735E-001	6.2715264E+003
4.2761454E-001	0.0000000E+000
4.2761454E-001	6.2757456E+003
4.2818716E-001	0.0000000E+000
4.2818716E-001	6.2761797E+003
4.2858797E-001	0.0000000E+000
4.2858797E-001	6.2812114E+003
4.2914152E-001	0.0000000E+000
4.2914152E-001	6.2838438E+003
4.2958054E-001	0.0000000E+000
4.2958054E-001	6.2836548E+003
4.3009588E-001	0.0000000E+000
4.3009588E-001	6.2892344E+003
4.3057308E-001	0.0000000E+000
4.3057308E-001	6.2922319E+003
4.3114570E-001	0.0000000E+000
4.3114570E-001	6.2939761E+003
4.3169922E-001	0.0000000E+000
4.3169922E-001	6.2977231E+003
4.3208095E-001	0.0000000E+000
4.3208095E-001	6.3006577E+003
4.3261540E-001	0.0000000E+000
4.3261540E-001	6.3040522E+003
4.3313077E-001	0.0000000E+000
4.3313077E-001	6.3072065E+003
4.3358886E-001	0.0000000E+000
4.3358886E-001	6.3110610E+003
4.3414238E-001	0.0000000E+000
4.3414238E-001	6.3137939E+003
4.3465775E-001	0.0000000E+000
4.3465775E-001	6.3165396E+003
4.3519220E-001	0.0000000E+000
4.3519220E-001	6.3201294E+003
4.3561211E-001	0.0000000E+000
4.3561211E-001	6.3233975E+003
4.3608931E-001	0.0000000E+000
4.3608931E-001	6.3259478E+003
4.3662375E-001	0.0000000E+000
4.3662375E-001	6.3299468E+003
4.3712002E-001	0.0000000E+000
4.3712002E-001	6.3338198E+003
4.3746358E-001	0.0000000E+000
4.3746358E-001	6.3377427E+003
4.3816981E-001	0.0000000E+000
4.3816981E-001	6.3417163E+003
4.3862793E-001	0.0000000E+000
4.3862793E-001	6.3461558E+003
4.3916237E-001	0.0000000E+000
4.3916237E-001	6.3471953E+003
4.3956318E-001	0.0000000E+000
4.3956318E-001	6.3532847E+003
4.4019309E-001	0.0000000E+000
4.4019309E-001	6.3560679E+003
4.4068936E-001	0.0000000E+000
4.4068936E-001	6.3592422E+003
4.4112834E-001	0.0000000E+000
4.4112834E-001	6.3652813E+003
4.4170097E-001	0.0000000E+000
4.4170097E-001	6.3680142E+003
4.4225451E-001	0.0000000E+000
4.4225451E-001	6.3732534E+003
4.4276986E-001	0.0000000E+000
4.4276986E-001	6.3773027E+003
4.4311345E-001	0.0000000E+000
4.4311345E-001	6.3808667E+003
4.4364789E-001	0.0000000E+000
4.4364789E-001	6.3851992E+003
4.4412506E-001	0.0000000E+000
4.4412506E-001	6.3892427E+003
4.4475496E-001	0.0000000E+000
4.4475496E-001	6.3944883E+003
4.4517487E-001	0.0000000E+000
4.4517487E-001	6.3993120E+003
4.4567114E-001	0.0000000E+000
4.4567114E-001	6.3964971E+003
4.4620559E-001	0.0000000E+000
4.4620559E-001	6.4027129E+003
4.4662550E-001	0.0000000E+000
4.4662550E-001	6.4064971E+003
4.4710270E-001	0.0000000E+000
4.4710270E-001	6.4112520E+003
4.4765621E-001	0.0000000E+000
4.4765621E-001	6.4128008E+003
4.4819066E-001	0.0000000E+000
4.4819066E-001	6.4190981E+003
4.4866785E-001	0.0000000E+000
4.4866785E-001	6.4239600E+003
4.4916412E-001	0.0000000E+000
4.4916412E-001	6.4292246E+003
4.4962221E-001	0.0000000E+000
4.4962221E-001	6.4327383E+003
4.5013756E-001	0.0000000E+000
4.5013756E-001	6.4378833E+003
4.5055750E-001	0.0000000E+000
4.5055750E-001	6.4428706E+003
4.5111102E-001	0.0000000E+000
4.5111102E-001	6.4470708E+003
4.5172182E-001	0.0000000E+000
4.5172182E-001	6.4530029E+003
4.5225626E-001	0.0000000E+000
4.5225626E-001	6.4594707E+003
4.5269528E-001	0.0000000E+000
4.5269528E-001	6.4629155E+003
4.5317245E-001	0.0000000E+000
4.5317245E-001	6.4677769E+003
4.5353511E-001	0.0000000E+000
4.5353511E-001	6.4737148E+003
4.5416498E-001	0.0000000E+000
4.5416498E-001	6.4783496E+003
4.5468035E-001	0.0000000E+000
4.5468035E-001	6.4844395E+003
4.5511937E-001	0.0000000E+000
4.5511937E-001	6.4903467E+003
4.5557746E-001	0.0000000E+000
4.5557746E-001	6.4961021E+003
4.5613098E-001	0.0000000E+000
4.5613098E-001	6.5026577E+003
4.5664635E-001	0.0000000E+000
4.5664635E-001	6.5067827E+003
4.5727623E-001	0.0000000E+000
4.5727623E-001	6.5117764E+003
4.5767707E-001	0.0000000E+000
4.5767707E-001	6.5188169E+003
4.5821151E-001	0.0000000E+000
4.5821151E-001	6.5240938E+003
4.5868868E-001	0.0000000E+000
4.5868868E-001	6.5292891E+003
4.5916587E-001	0.0000000E+000
4.5916587E-001	6.5360713E+003
4.5968124E-001	0.0000000E+000
4.5968124E-001	6.5416382E+003
4.6027294E-001	0.0000000E+000
4.6027294E-001	6.5484961E+003
4.6055925E-001	0.0000000E+000
4.6055925E-001	6.5529609E+003
4.6118912E-001	0.0000000E+000
4.6118912E-001	6.5587168E+003
4.6170449E-001	0.0000000E+000
4.6170449E-001	6.5637104E+003
4.6216258E-001	0.0000000E+000
4.6216258E-001	6.5700015E+003
4.6260160E-001	0.0000000E+000
4.6260160E-001	6.5769912E+003
4.6317422E-001	0.0000000E+000
4.6317422E-001	6.5832637E+003
4.6363232E-001	0.0000000E+000
4.6363232E-001	6.5896177E+003
4.6401405E-001	0.0000000E+000
4.6401405E-001	6.5952476E+003
4.6460575E-001	0.0000000E+000
4.6460575E-001	6.6012300E+003
4.6523565E-001	0.0000000E+000
4.6523565E-001	6.6078359E+003
4.6559832E-001	0.0000000E+000
4.6559832E-001	6.6140957E+003
4.6620908E-001	0.0000000E+000
4.6620908E-001	6.6208462E+003
4.6670535E-001	0.0000000E+000
4.6670535E-001	6.6281514E+003
4.6718255E-001	0.0000000E+000
4.6718255E-001	6.6344927E+003
4.6754521E-001	0.0000000E+000
4.6754521E-001	6.6398833E+003
4.6813691E-001	0.0000000E+000
4.6813691E-001	6.6470054E+003
4.6869045E-001	0.0000000E+000
4.6869045E-001	6.6542163E+003
4.6909127E-001	0.0000000E+000
4.6909127E-001	6.6598271E+003
4.6953028E-001	0.0000000E+000
4.6953028E-001	6.6672954E+003
4.7010291E-001	0.0000000E+000
4.7010291E-001	6.6736436E+003
4.7058010E-001	0.0000000E+000
4.7058010E-001	6.6818804E+003
4.7107637E-001	0.0000000E+000
4.7107637E-001	6.6891724E+003
4.7157264E-001	0.0000000E+000
4.7157264E-001	6.6961626E+003
4.7212616E-001	0.0000000E+000
4.7212616E-001	6.7023086E+003
4.7266060E-001	0.0000000E+000
4.7266060E-001	6.7100483E+003
4.7309962E-001	0.0000000E+000
4.7309962E-001	6.7165659E+003
4.7357681E-001	0.0000000E+000
4.7357681E-001	6.7226055E+003
4.7411126E-001	0.0000000E+000
4.7411126E-001	6.7308672E+003
4.7462660E-001	0.0000000E+000
4.7462660E-001	6.7383608E+003
4.7514197E-001	0.0000000E+000
4.7514197E-001	6.7458994E+003
4.7563824E-001	0.0000000E+000
4.7563824E-001	6.7551621E+003
4.7624904E-001	0.0000000E+000
4.7624904E-001	6.7600366E+003
4.7670713E-001	0.0000000E+000
4.7670713E-001	6.7677134E+003
4.7716522E-001	0.0000000E+000
4.7716522E-001	6.7758804E+003
4.7758514E-001	0.0000000E+000
4.7758514E-001	6.7804585E+003
4.7806233E-001	0.0000000E+000
4.7806233E-001	6.7886895E+003
4.7861585E-001	0.0000000E+000
4.7861585E-001	6.7975186E+003
4.7913122E-001	0.0000000E+000
4.7913122E-001	6.8035576E+003
4.7962749E-001	0.0000000E+000
4.7962749E-001	6.8124995E+003
4.8012376E-001	0.0000000E+000
4.8012376E-001	6.8220464E+003
4.8073456E-001	0.0000000E+000
4.8073456E-001	6.8287026E+003
4.8107812E-001	0.0000000E+000
4.8107812E-001	6.8365112E+003
4.8163164E-001	0.0000000E+000
4.8163164E-001	6.8448936E+003
4.8201340E-001	0.0000000E+000
4.8201340E-001	6.8518770E+003
4.8279598E-001	0.0000000E+000
4.8279598E-001	6.8607563E+003
4.8313954E-001	0.0000000E+000
4.8313954E-001	6.8664180E+003
4.8373127E-001	0.0000000E+000
4.8373127E-001	6.8771797E+003
4.8415118E-001	0.0000000E+000
4.8415118E-001	6.8841699E+003
4.8459017E-001	0.0000000E+000
4.8459017E-001	6.8935781E+003
4.8522007E-001	0.0000000E+000
4.8522007E-001	6.9021553E+003
4.8565906E-001	0.0000000E+000
4.8565906E-001	6.9094663E+003
4.8609808E-001	0.0000000E+000
4.8609808E-001	6.9177344E+003
4.8659435E-001	0.0000000E+000
4.8659435E-001	6.9257891E+003
4.8714790E-001	0.0000000E+000
4.8714790E-001	6.9347188E+003
4.8766324E-001	0.0000000E+000
4.8766324E-001	6.9430815E+003
4.8808315E-001	0.0000000E+000
4.8808315E-001	6.9506636E+003
4.8859853E-001	0.0000000E+000
4.8859853E-001	6.9588062E+003
4.8903754E-001	0.0000000E+000
4.8903754E-001	6.9682837E+003
4.8961017E-001	0.0000000E+000
4.8961017E-001	6.9758276E+003
4.9008733E-001	0.0000000E+000
4.9008733E-001	6.9861426E+003
4.9050725E-001	0.0000000E+000
4.9050725E-001	6.9941401E+003
4.9115622E-001	0.0000000E+000
4.9115622E-001	7.0016968E+003
4.9165249E-001	0.0000000E+000
4.9165249E-001	7.0115210E+003
4.9216786E-001	0.0000000E+000
4.9216786E-001	7.0196006E+003
4.9270231E-001	0.0000000E+000
4.9270231E-001	7.0306333E+003
4.9316040E-001	0.0000000E+000
4.9316040E-001	7.0382725E+003
4.9363756E-001	0.0000000E+000
4.9363756E-001	7.0466348E+003
4.9419111E-001	0.0000000E+000
4.9419111E-001	7.0566226E+003
4.9464920E-001	0.0000000E+000
4.9464920E-001	7.0663203E+003
4.9508822E-001	0.0000000E+000
4.9508822E-001	7.0741353E+003
4.9560356E-001	0.0000000E+000
4.9560356E-001	7.0839219E+003
4.9596623E-001	0.0000000E+000
4.9596623E-001	7.0910688E+003
4.9667245E-001	0.0000000E+000
4.9667245E-001	7.1027568E+003
4.9716872E-001	0.0000000E+000
4.9716872E-001	7.1123037E+003
4.9753138E-001	0.0000000E+000
4.9753138E-001	7.1203013E+003
4.9810401E-001	0.0000000E+000
4.9810401E-001	7.1294517E+003
4.9860027E-001	0.0000000E+000
4.9860027E-001	7.1386582E+003
4.9911565E-001	0.0000000E+000
4.9911565E-001	7.1470020E+003
4.9955463E-001	0.0000000E+000
4.9955463E-001	7.1570400E+003
5.0014639E-001	0.0000000E+000
5.0014639E-001	7.1654976E+003
5.0050902E-001	0.0000000E+000
5.0050902E-001	7.1768452E+003
5.0108165E-001	0.0000000E+000
5.0108165E-001	7.1839800E+003
5.0159699E-001	0.0000000E+000
5.0159699E-001	7.1938604E+003
5.0216961E-001	0.0000000E+000
5.0216961E-001	7.2039678E+003
5.0268501E-001	0.0000000E+000
5.0268501E-001	7.2130298E+003
5.0316215E-001	0.0000000E+000
5.0316215E-001	7.2228286E+003
5.0367755E-001	0.0000000E+000
5.0367755E-001	7.2324194E+003
5.0415468E-001	0.0000000E+000
5.0415468E-001	7.2425142E+003
5.0470823E-001	0.0000000E+000
5.0470823E-001	7.2513115E+003
5.0510907E-001	0.0000000E+000
5.0510907E-001	7.2635913E+003
5.0564349E-001	0.0000000E+000
5.0564349E-001	7.2722876E+003
5.0608253E-001	0.0000000E+000
5.0608253E-001	7.2818408E+003
5.0673151E-001	0.0000000E+000
5.0673151E-001	7.2909907E+003
5.0709414E-001	0.0000000E+000
5.0709414E-001	7.3004058E+003
5.0751406E-001	0.0000000E+000
5.0751406E-001	7.3113940E+003
5.0818211E-001	0.0000000E+000
5.0818211E-001	7.3200596E+003
5.0867838E-001	0.0000000E+000
5.0867838E-001	7.3322134E+003
5.0907922E-001	0.0000000E+000
5.0907922E-001	7.3411426E+003
5.0961369E-001	0.0000000E+000
5.0961369E-001	7.3517729E+003
5.1009089E-001	0.0000000E+000
5.1009089E-001	7.3603433E+003
5.1070166E-001	0.0000000E+000
5.1070166E-001	7.3728813E+003
5.1108342E-001	0.0000000E+000
5.1108342E-001	7.3812134E+003
5.1169419E-001	0.0000000E+000
5.1169419E-001	7.3914272E+003
5.1224774E-001	0.0000000E+000
5.1224774E-001	7.4024351E+003
5.1261038E-001	0.0000000E+000
5.1261038E-001	7.4116040E+003
5.1322120E-001	0.0000000E+000
5.1322120E-001	7.4231411E+003
5.1369834E-001	0.0000000E+000
5.1369834E-001	7.4328579E+003
5.1419461E-001	0.0000000E+000
5.1419461E-001	7.4427378E+003
5.1459545E-001	0.0000000E+000
5.1459545E-001	7.4545200E+003
5.1511085E-001	0.0000000E+000
5.1511085E-001	7.4637080E+003
5.1566434E-001	0.0000000E+000
5.1566434E-001	7.4743887E+003
5.1610339E-001	0.0000000E+000
5.1610339E-001	7.4831855E+003
5.1658052E-001	0.0000000E+000
5.1658052E-001	7.4941558E+003
5.1711500E-001	0.0000000E+000
5.1711500E-001	7.5041494E+003
5.1757312E-001	0.0000000E+000
5.1757312E-001	7.5151768E+003
5.1812661E-001	0.0000000E+000
5.1812661E-001	7.5265679E+003
5.1862288E-001	0.0000000E+000
5.1862288E-001	7.5364741E+003
5.1921463E-001	0.0000000E+000
5.1921463E-001	7.5473809E+003
5.1961541E-001	0.0000000E+000
5.1961541E-001	7.5600513E+003
5.2005446E-001	0.0000000E+000
5.2005446E-001	7.5691001E+003
5.2066523E-001	0.0000000E+000
5.2066523E-001	7.5793843E+003
5.2102792E-001	0.0000000E+000
5.2102792E-001	7.5900708E+003
5.2165776E-001	0.0000000E+000
5.2165776E-001	7.6009526E+003
5.2211589E-001	0.0000000E+000
5.2211589E-001	7.6113306E+003
5.2263123E-001	0.0000000E+000
5.2263123E-001	7.6247314E+003
5.2310842E-001	0.0000000E+000
5.2310842E-001	7.6350840E+003
5.2360469E-001	0.0000000E+000
