mode,ox/red,error,control changes,counter inc.,time/s,control/V,Ewe/V,<I>/mA,cycle number,(Q-Qo)/C,I Range,P/W,log(|I|),Tafel slope mV/dec,alpha_eff,E-IR/V,
2,0,0,1,0,3.002019924162596E+001,2.1736778E-005,-1.9920424E-004,-1.649052947759628E-001,1.000000000000000E+000,0.0000000E+000,10,3.2849833E-008,-3.782765399812927, , ,0.00009597623764897342,
2,0,0,1,0,3.005019924086810E+001,1.7177948E-004,-1.5148592E-004,-1.023210721964742E-001,1.000000000000000E+000,-3.2205874E-006,10,1.5500202E-008,-3.9900349176442136, , ,0.00003166879923168883,
2,0,0,0,0,3.009039923985256E+001,3.7183645E-004,1.5391118E-004,-3.834341027983001E-002,1.000000000000000E+000,-5.2805917E-006,10,-5.9014797E-009,-4.416309263397272, , ,0.00022254588440089572,
2,1,0,0,0,3.013039923884207E+001,5.7189341E-004,3.2569704E-004,1.386506436823284E-002,1.000000000000000E+000,-5.0864646E-006,10,4.5158104E-009,-4.858078109879597, , ,0.00030087857478086323,
2,1,0,0,0,3.017039923783159E+001,7.7195035E-004,5.1657017E-004,5.801735035314853E-002,1.000000000000000E+000,-2.9889484E-006,10,2.9970032E-008,-4.236442109267981, , ,0.0004127191128678641,
2,1,0,0,0,3.021039923682110E+001,9.7200734E-004,6.9789978E-004,9.449830914049318E-002,1.000000000000000E+000,6.4452104E-007,10,6.5950353E-008,-4.024575962258178,0.004258186738420616,13.85566289699249,0.0005287478066385173,
2,1,0,0,0,3.025039923581062E+001,1.1720643E-003,8.9831650E-004,1.238790770270382E-001,1.000000000000000E+000,5.5858627E-006,10,1.1128262E-007,-3.9070020390559477,0.001401496344507359,42.09786221079237,0.0006765729521216016,
2,1,0,0,0,3.029039923480013E+001,1.3721213E-003,1.0891898E-003,1.475030976841802E-001,1.000000000000000E+000,1.1564700E-005,10,1.6065887E-007,-3.8311988590551755,0.0010387191443200791,56.800724548713305,0.0008251592551453174,
2,1,0,0,0,3.033039923378965E+001,1.5721783E-003,1.2705193E-003,1.694267237064784E-001,1.000000000000000E+000,1.8457897E-005,10,2.1525993E-007,-3.77101808725852,0.0022001102796293205,26.816837567769763,0.0009672454645654037,
2,1,0,0,0,3.037039923277916E+001,1.7722351E-003,1.4804798E-003,1.869111308942033E-001,1.000000000000000E+000,2.6079540E-005,10,2.7671817E-007,-3.728364834833105,0.0035365286034450723,16.68302638427009,0.0011459088756993762,
2,1,0,0,0,3.041039923176868E+001,1.9722921E-003,1.5950038E-003,2.018903364636453E-001,1.000000000000000E+000,3.4336135E-005,10,3.2201584E-007,-3.694884468183423,0.004657119484263879,12.668775237431072,0.001233620097730075,
2,1,0,0,0,3.045039923075819E+001,2.1723490E-003,1.9194882E-003,2.142669847425150E-001,1.000000000000000E+000,4.3125343E-005,10,4.1128294E-007,-3.6690447419247936,0.006208525111834604,9.503062150386574,0.0015359502973108982,
2,1,0,0,0,3.049039922974771E+001,2.3724060E-003,2.1103614E-003,2.249756817306774E-001,1.000000000000000E+000,5.2379553E-005,10,4.7477999E-007,-3.6478644234928854,0.007972201638902842,7.4007159718704445,0.0017076549297020873,
2,1,0,0,0,3.053039922873722E+001,2.5724629E-003,2.3584964E-003,2.361905916917069E-001,1.000000000000000E+000,6.2032806E-005,10,5.5705465E-007,-3.6267374058662556,0.009877451304196896,5.973200796741068,0.0019357152408718448,
2,1,0,0,0,3.057039922772674E+001,2.7725201E-003,2.4921077E-003,2.447705702209955E-001,1.000000000000000E+000,7.2123403E-005,10,6.0999463E-007,-3.6112408004111263,0.012126798831287266,4.865257585355452,0.0020539683793044184,
2,1,0,0,0,3.061039922671625E+001,2.9725770E-003,2.7211555E-003,2.520654234959150E-001,1.000000000000000E+000,8.2506318E-005,10,6.8590924E-007,-3.5984867236008244,0.013999200310513249,4.214526450892458,0.0022699583919423122,
2,1,0,0,0,3.065039922570577E+001,3.1726339E-003,2.8929415E-003,2.585166210916885E-001,1.000000000000000E+000,9.3167553E-005,10,7.4787346E-007,-3.5875115291025463,0.0163853289749011,3.600782144220337,0.002430196748245878,
2,1,0,0,0,3.069039922469528E+001,3.3726906E-003,3.1219893E-003,2.652338851357294E-001,1.000000000000000E+000,1.0408448E-004,10,8.2805735E-007,-3.5763709931353214,0.014043785290149312,4.201146541408902,0.0026472206456070444,
2,1,0,0,0,3.073039922368480E+001,3.5727478E-003,3.2365131E-003,2.694654575910196E-001,1.000000000000000E+000,1.1521060E-004,10,8.7212851E-007,-3.5694968985258013,0.014234587659647076,4.144833795730954,0.0027541699309120747,
2,1,0,1,0,3.077049922267179E+001,3.7728052E-003,3.5037359E-003,2.732618047192190E-001,1.000000000000000E+000,1.2651001E-004,10,9.5743724E-007,-3.5634210677545446,0.016568586253687827,3.5609555997493634,0.003014597269552598,
2,1,0,1,0,3.081059922165878E+001,3.9728615E-003,3.6850651E-003,2.770458866024823E-001,1.000000000000000E+000,1.3797346E-004,10,1.0209321E-006,-3.557448293578813,0.019949193182396904,2.9575130914097008,0.0031891529629815567,
2,1,0,1,0,3.085059922064829E+001,4.1729184E-003,3.9618309E-003,3.013838599530998E-001,1.000000000000000E+000,1.4999008E-004,10,1.1940318E-006,-3.5208800092244203,0.023194326873034143,2.543725468859962,0.003422353790683952,
2,1,0,1,0,3.089059921963781E+001,4.3729758E-003,4.2195097E-003,3.169796279992685E-001,1.000000000000000E+000,1.6318573E-004,10,1.3374986E-006,-3.4989686486081344,0.028278667024824997,2.0863783978292068,0.00365211616588131,
2,1,0,1,0,3.093059921862732E+001,4.5730327E-003,4.4103833E-003,3.138968234273527E-001,1.000000000000000E+000,1.7618362E-004,10,1.3844053E-006,-3.5032130792504277,0.029489509863982098,2.000711448651828,0.003848507986065039,
2,1,0,1,0,3.097059921761684E+001,4.7730897E-003,4.6107997E-003,3.117615662667195E-001,1.000000000000000E+000,1.8909489E-004,10,1.4374701E-006,-3.5061774253469906,0.0339624947001893,1.737210429352563,0.0040527464963825725,
2,1,0,1,0,3.101059921660635E+001,4.9731466E-003,4.8016733E-003,3.108334745071364E-001,1.000000000000000E+000,2.0194166E-004,10,1.4925208E-006,-3.5074722169917854,0.10779448507958492,0.5473378341799227,0.0042452813806322254,
2,1,0,1,0,3.105059921559587E+001,5.1732035E-003,5.0307210E-003,3.100157271956601E-001,1.000000000000000E+000,2.1476961E-004,10,1.5596027E-006,-3.5086162737107656,-0.35217319742323294,-0.16753120462229631,0.004475792848319769,
2,1,0,1,0,3.109059921458538E+001,5.3732605E-003,5.1929634E-003,3.101844778474495E-001,1.000000000000000E+000,2.2756620E-004,10,1.6107766E-006,-3.508379938804384,4.252111958241259,0.013875457791192152,0.004637733184653065,
2,1,0,1,0,3.113059921357490E+001,5.5733174E-003,5.4124673E-003,3.102169143302085E-001,1.000000000000000E+000,2.4037226E-004,10,1.6790389E-006,-3.5083345263160663,0.601122984377292,0.09814963249345483,0.0048571790233489275,
2,1,0,1,0,3.117059921256441E+001,5.7733743E-003,5.6224274E-003,3.121379829791131E-001,1.000000000000000E+000,2.5321549E-004,10,1.7549731E-006,-3.5056533803428813,0.3315435694815821,0.17795549493617177,0.0050637004104673875,
