mode,ox/red,error,control changes,counter inc.,time/s,control/V,Ewe/V,<I>/mA,cycle number,(Q-Qo)/C,I Range,P/W,log(|I|),Tafel slope mV/dec,alpha_eff,E-IR/V,
2,0,0,0,0,2.426018340030569E+003,2.4406487E-005,1.5185951E-004,-5.215045928955078E+000,2.000000000000000E+000,0.0000000E+000,11,-7.9195433E-007,-2.2827418623853095, , ,0.004323896253164063,
2,0,0,1,0,2.426021740030497E+003,3.0264177E-004,-8.4346146E-005,-5.104285786127939E+000,2.000000000000000E+000,-1.7559034E-005,11,4.3052682E-007,-2.292065017699173, , ,0.003999082482902351,
2,0,0,1,0,2.426027940030326E+003,7.9847133E-004,3.7272702E-004,-3.238443139840708E+000,2.000000000000000E+000,-4.3202515E-005,11,-1.2070552E-006,-2.4896637238286172, , ,0.002963481531872567,
2,0,0,1,0,2.426034140030170E+003,1.2943008E-003,9.1501133E-004,-1.792302429992048E+000,2.000000000000000E+000,-5.8575635E-005,11,-1.6399771E-006,-2.7465887063955825, , ,0.0023488532739936382,
2,0,0,1,0,2.426040340030013E+003,1.7919139E-003,1.3734478E-003,-6.876703690463088E-001,2.000000000000000E+000,-6.6096472E-005,11,-9.4447938E-007,-3.1626196885224878, , ,0.0019235840952370469,
2,0,0,1,0,2.426046740029851E+003,2.3020119E-003,1.9522024E-003,2.402491488470071E-001,2.000000000000000E+000,-6.7389912E-005,11,4.6901496E-007,-3.6193381422721242,0.004914793022935237,12.00457470430031,0.0017600030809223942,
2,1,0,1,0,2.426052940029695E+003,2.7978416E-003,2.4723317E-003,9.600739004506238E-001,2.000000000000000E+000,-6.3542255E-005,11,2.3736211E-006,-3.017695336415988,0.004082630201167593,14.451468071520795,0.001704272579639501,
2,1,0,1,0,2.426059140029538E+003,3.2954549E-003,3.0067766E-003,1.476893979157992E+000,2.000000000000000E+000,-5.5908793E-005,11,4.4406902E-006,-2.8306506799888536,0.0031782964385295293,18.563403741942,0.001825261416673606,
2,1,0,1,0,2.426065340029381E+003,3.7912843E-003,3.4795285E-003,1.881669332007217E+000,2.000000000000000E+000,-4.5429391E-005,11,6.5473218E-006,-2.7254566932902753,0.002149422994398106,27.4492271431764,0.001974193034394226,
2,1,0,1,0,2.426071640029229E+003,4.2942474E-003,3.9976244E-003,2.219797132954267E+000,2.000000000000000E+000,-3.2424010E-005,11,8.8739152E-006,-2.653686713866618,0.001683640558886657,35.043109224581166,0.0022217866936365864,
2,1,0,1,0,2.426077940029063E+003,4.7989953E-003,4.4707060E-003,2.477583581781282E+000,2.000000000000000E+000,-1.7593817E-005,11,1.1076548E-005,-2.6059716855837114,0.004646428730655188,12.697924238188083,0.002488639134574974,
2,1,0,1,0,2.426084140028906E+003,5.2948250E-003,5.0273058E-003,2.664147816664940E+000,2.000000000000000E+000,-1.6178396E-006,11,1.3393485E-005,-2.574441682586958,0.008057784366167664,7.322112049526189,0.002895987546668048,
2,1,0,1,0,2.426090340028750E+003,5.7906541E-003,5.5010803E-003,2.823698178831762E+000,2.000000000000000E+000,1.5424428E-005,11,1.5533391E-005,-2.5491817262721734,0.012604168623063279,4.680991008961987,0.00324212175693459,
2,1,0,1,0,2.426096540028608E+003,6.2864833E-003,5.9530404E-003,2.949315865890000E+000,2.000000000000000E+000,3.3357523E-005,11,1.7557397E-005,-2.530278712878179,0.018558322298072603,3.179166686103275,0.0035935877072879995,
