mode,ox/red,error,control changes,counter inc.,time/s,control/V,Ewe/V,<I>/mA,cycle number,(Q-Qo)/C,I Range,P/W,log(|I|),Tafel slope mV/dec,alpha_eff,dI/d(E-IR),E-IR/V,
2,0,0,1,0,3.264210335091314E+004,2.4406487E-005,-4.0167282E-004,-7.303376197814941E-001,1.700000000000000E+001,0.0000000E+000,10,2.9335678E-007,-3.136476328219678, , , ,-0.00040167282,
2,0,0,1,0,3.264211705091297E+004,2.9907466E-004,-1.0894431E-004,-4.258099353413423E-001,1.700000000000000E+001,-6.0476627E-006,10,4.6389570E-008,-3.3707842094698393, , , ,-0.00010894431,
2,0,0,1,0,3.264214205091266E+004,7.9847127E-004,4.2423379E-004,-7.800705117771478E-002,1.700000000000000E+001,-1.1621911E-005,10,-3.3093226E-008,-4.107866138986881, , , ,0.00042423379,
2,1,0,1,0,3.264216705091245E+004,1.2978679E-003,9.3013205E-004,1.324389980538614E-001,1.700000000000000E+001,-1.0356400E-005,10,1.2318576E-007,-3.8779841134932487, , , ,0.00093013205,
2,1,0,1,0,3.264219195091212E+004,1.7972648E-003,1.4670098E-003,2.761159514922400E-001,1.700000000000000E+001,-4.6900395E-006,10,4.0506481E-007,-3.5589085030132335, , , ,0.0014670098,
2,1,0,1,0,3.264221695091177E+004,2.2966613E-003,1.9768286E-003,3.939455027836143E-001,1.700000000000000E+001,4.2467159E-006,10,7.7876274E-007,-3.4045638529900306,0.02897935745158178,2.0359319594499707,249.14609693595736,0.0019768286,
2,1,0,1,0,3.264224195091146E+004,2.7960581E-003,2.4742067E-003,4.685329057215277E-001,1.700000000000000E+001,1.5598167E-005,10,1.1592473E-006,-3.3292599025959677,0.00452627609924157,13.03499802185866,170.863660601585,0.0024742067,
2,1,0,1,0,3.264226695091120E+004,3.2967923E-003,2.9515598E-003,5.185076608239395E-001,1.700000000000000E+001,2.8436978E-005,10,1.5304064E-006,-3.2852448226327313,0.005930814856161076,9.94804279528459,125.2036241125505,0.0029515598,
2,1,0,1,0,3.264229185091087E+004,3.7948510E-003,3.5053995E-003,5.571393317792976E-001,1.700000000000000E+001,4.2347139E-005,10,1.9529959E-006,-3.2540361810276273,0.010607593741129566,5.562053132864164,95.43120349613706,0.0035053995,
2,1,0,1,0,3.264231685091057E+004,4.2942483E-003,3.9618905E-003,5.884226688411873E-001,1.700000000000000E+001,5.7160320E-005,10,2.3312662E-006,-3.2303106045322045,0.016913413405614117,3.488355578207292,71.09231098040011,0.0039618905,
2,1,0,1,0,3.264234175091026E+004,4.7923066E-003,4.4867252E-003,6.161251022973797E-001,1.700000000000000E+001,7.2640971E-005,10,2.7643841E-006,-3.2103310967297998,0.023727308290564398,2.4865863113289777,55.58252526664395,0.0044867252,
2,1,0,1,0,3.264236675090995E+004,5.2930410E-003,4.9916022E-003,6.409497800588055E-001,1.700000000000000E+001,8.8829504E-005,10,3.1993663E-006,-3.1931759971547584,0.029575848052517662,1.994870946565388,47.41459974604831,0.0049916022,
2,1,0,1,0,3.264239175090968E+004,5.7924381E-003,5.4651205E-003,6.576604673040229E-001,1.700000000000000E+001,1.0552210E-004,10,3.5941937E-006,-3.1819982632764074,0.035042260359995345,1.6836813434373967,41.78255164769237,0.0054651205,
2,1,0,1,0,3.264241675090929E+004,6.2918346E-003,5.9395777E-003,6.756664941381150E-001,1.700000000000000E+001,1.2268039E-004,10,4.0131736E-006,-3.1702676169218793,0.040950776592838016,1.4407541177208996,37.07672746711038,0.0059395777,
2,1,0,1,0,3.264244165090905E+004,6.7912303E-003,6.4838650E-003,6.913998394918863E-001,1.700000000000000E+001,1.4020652E-004,10,4.4829430E-006,-3.1602707256148386,0.04677867086381946,1.261258580256777,33.46318783302841,0.006483865,
2,1,0,1,0,3.264246665090874E+004,7.2906278E-003,6.9797980E-003,7.095049627586816E-001,1.700000000000000E+001,1.5819230E-004,10,4.9522014E-006,-3.1490445624458694,0.05529752530434452,1.0669555224266896,29.017984549696735,0.006979798,
2,1,0,1,0,3.264249165090843E+004,7.7900244E-003,7.4438904E-003,7.216995312225141E-001,1.700000000000000E+001,1.7658023E-004,10,5.3722524E-006,-3.141643576796645,0.05954530630065255,0.990842161464428,27.50654271769561,0.0074438904,
2,1,0,1,0,3.264251655090810E+004,8.2889758E-003,7.9385471E-003,7.358640818296731E-001,1.700000000000000E+001,1.9523506E-004,10,5.8416917E-006,-3.1332023948506453,0.06617047274688115,0.8916363681681703,25.25040314621585,0.0079385471,
2,1,0,1,0,3.264254155090777E+004,8.7888176E-003,8.4210141E-003,7.477789507474785E-001,1.700000000000000E+001,2.1426978E-004,10,6.2970571E-006,-3.126226763978376,0.07158309805711441,0.8242169115525754,23.739501478297527,0.0084210141,
2,1,0,1,0,3.264256655090753E+004,9.2882141E-003,8.9553734E-003,7.559704314989384E-001,1.700000000000000E+001,2.3355406E-004,10,6.7699975E-006,-3.1214951908585573,0.07983298897836064,0.739042853775554,21.684349765710188,0.0089553734,
2,1,0,1,0,3.264259155090724E+004,9.7880578E-003,9.4703902E-003,7.678315894029648E-001,1.700000000000000E+001,2.5310830E-004,10,7.2716648E-006,-3.1147340245171535,0.08453697293910147,0.6979194777000387,20.772278092725536,0.0094703902,
