2theta,intensity,,,,
5,513.75,Sample,alpha-MnO2_on_FTO,,
5.04,539.167,Comments,meas_very_fine,,
5.08,492.5,Filename,C:\data\BCRT\Yatsuzuka\20230224_2-6_XRD_afterCV60scans\20230224_2-6_XRD_afterCV60scans.raw,,
5.12,492.083,Goniometer,Ultima+,theta-theta,goniometer
5.16,512.5,Attachment,Standard,sample,holder
5.2,507.917,Monochromater,Fixed,Monochromator,
5.24,461.667,ScanningMode,2Theta/Theta,,
5.28,471.667,ScanningType,Continuos,Scanning,
5.32,475,X-Ray,40kV/40mA,,
5.36,472.917,DivSlit,1,deg.,
5.4,428.333,DivH.L.Slit,10mm,,
5.44,443.75,SctSlit,1,deg.,
5.48,443.75,RecSlit,0.6mm,,
5.52,448.75,Monochro,RS,No,Use
5.56,408.333,Start,5,,
5.6,413.333,Stop,50,,
5.64,420.417,Step,0.04,,
5.68,410,Speed,1,,
5.72,423.75,Offset,0,,
5.76,392.083,TempUnit,Celsius,,
5.8,390,StartTime,2023/02/24,14:43:02,
5.84,385.417,StartTemp,0,,
5.88,403.75,StopTime,2023/02/24,15:28:13,
5.92,368.333,StopTemp,0,,
5.96,390,,,,
6,402.917,,,,
6.04,364.167,,,,
6.08,369.583,,,,
6.12,375.833,,,,
6.16,352.5,,,,
6.2,367.917,,,,
6.24,346.667,,,,
6.28,352.917,,,,
6.32,345.833,,,,
6.36,344.583,,,,
6.4,338.75,,,,
6.44,368.333,,,,
6.48,327.917,,,,
6.52,345.833,,,,
6.56,319.167,,,,
6.6,321.25,,,,
6.64,310,,,,
6.68,309.167,,,,
6.72,325.417,,,,
6.76,301.25,,,,
6.8,318.75,,,,
6.84,292.083,,,,
6.88,307.5,,,,
6.92,324.167,,,,
6.96,301.25,,,,
7,305.417,,,,
7.04,303.75,,,,
7.08,280,,,,
7.12,294.583,,,,
7.16,294.583,,,,
7.2,266.25,,,,
7.24,283.333,,,,
7.28,287.083,,,,
7.32,288.75,,,,
7.36,286.25,,,,
7.4,266.667,,,,
7.44,274.583,,,,
7.48,276.25,,,,
7.52,264.167,,,,
7.56,266.667,,,,
7.6,258.75,,,,
7.64,266.25,,,,
7.68,231.667,,,,
7.72,252.083,,,,
7.76,242.5,,,,
7.8,247.5,,,,
7.84,260.417,,,,
7.88,272.083,,,,
7.92,263.333,,,,
7.96,250.417,,,,
8,235,,,,
8.04,236.25,,,,
8.08,251.667,,,,
8.12,255,,,,
8.16,259.167,,,,
8.2,247.5,,,,
8.24,247.5,,,,
8.28,236.25,,,,
8.32,221.25,,,,
8.36,250.833,,,,
8.4,237.083,,,,
8.44,229.167,,,,
8.48,242.5,,,,
8.52,208.75,,,,
8.56,209.583,,,,
8.6,225.417,,,,
8.64,244.167,,,,
8.68,226.25,,,,
8.72,219.167,,,,
8.76,210.833,,,,
8.8,224.167,,,,
8.84,222.917,,,,
8.88,209.583,,,,
8.92,212.5,,,,
8.96,215.417,,,,
9,217.5,,,,
9.04,205.833,,,,
9.08,210.833,,,,
9.12,181.667,,,,
9.16,230,,,,
9.2,215,,,,
9.24,219.583,,,,
9.28,221.25,,,,
9.32,212.917,,,,
9.36,214.583,,,,
9.4,202.083,,,,
9.44,208.75,,,,
9.48,206.25,,,,
9.52,213.333,,,,
9.56,205.417,,,,
9.6,217.5,,,,
9.64,186.25,,,,
9.68,201.25,,,,
9.72,204.583,,,,
9.76,189.583,,,,
9.8,202.917,,,,
9.84,191.667,,,,
9.88,188.75,,,,
9.92,190.833,,,,
9.96,199.167,,,,
10,186.667,,,,
10.04,195.417,,,,
10.08,195.417,,,,
10.12,177.917,,,,
10.16,180.833,,,,
10.2,202.083,,,,
10.24,187.083,,,,
10.28,184.167,,,,
10.32,185.833,,,,
10.36,189.167,,,,
10.4,187.917,,,,
10.44,178.75,,,,
10.48,182.5,,,,
10.52,192.083,,,,
10.56,184.167,,,,
10.6,193.333,,,,
10.64,186.667,,,,
10.68,192.5,,,,
10.72,200,,,,
10.76,187.917,,,,
10.8,196.25,,,,
10.84,185,,,,
10.88,192.5,,,,
10.92,191.667,,,,
10.96,196.667,,,,
11,184.583,,,,
11.04,189.583,,,,
11.08,192.917,,,,
11.12,202.917,,,,
11.16,192.083,,,,
11.2,203.75,,,,
11.24,175,,,,
11.28,202.5,,,,
11.32,194.167,,,,
11.36,192.917,,,,
11.4,192.083,,,,
11.44,205,,,,
11.48,207.5,,,,
11.52,200.417,,,,
11.56,228.333,,,,
11.6,217.917,,,,
11.64,239.583,,,,
11.68,219.583,,,,
11.72,223.333,,,,
11.76,228.333,,,,
11.8,228.333,,,,
11.84,228.333,,,,
11.88,225.417,,,,
