Name	No.	Position	Amplitude	Width	Param1	Function	Area	Amplitude ratio to No.1	Area ratio to No.1	Position difference from No.1
N_0CV	1	579.891	0.707	28.248	0.000	Lorentzian	31.366	1.0000	1.0000	0.000
N_0CV	2	632.063	0.607	47.663	0.000	Lorentzian	45.426	0.8583	1.4483	52.172
N_0CV	3	510.407	0.160	43.061	0.000	Lorentzian	10.816	0.2262	0.3448	-69.483
N_0CV	4	676.076	0.021	29.048	0.000	Lorentzian	0.978	0.0303	0.0312	96.186
N_15CV	1	580.515	0.722	26.496	0.000	Lorentzian	30.063	1.0000	1.0000	0.000
N_15CV	2	632.964	0.619	45.508	0.000	Lorentzian	44.231	0.8566	1.4713	52.449
N_15CV	3	511.498	0.174	42.237	0.000	Lorentzian	11.549	0.2410	0.3842	-69.016
N_15CV	4	677.002	0.025	31.210	0.000	Lorentzian	1.229	0.0347	0.0409	96.487
N_30CV	1	581.067	0.720	26.368	0.000	Lorentzian	29.839	1.0000	1.0000	0.000
N_30CV	2	633.459	0.618	45.503	0.000	Lorentzian	44.198	0.8584	1.4812	52.391
N_30CV	3	511.999	0.173	42.479	0.000	Lorentzian	11.572	0.2407	0.3878	-69.068
N_30CV	4	678.012	0.028	35.930	0.000	Lorentzian	1.580	0.0389	0.0529	96.945
N_45CV	1	580.540	0.719	26.435	0.000	Lorentzian	29.851	1.0000	1.0000	0.000
N_45CV	2	631.802	0.614	45.654	0.000	Lorentzian	44.031	0.8541	1.4750	51.261
N_45CV	3	511.419	0.170	42.507	0.000	Lorentzian	11.344	0.2363	0.3800	-69.122
N_45CV	4	676.643	0.036	43.432	0.000	Lorentzian	2.458	0.0501	0.0823	96.102
N_60CV	1	580.974	0.716	26.806	0.000	Lorentzian	30.133	1.0000	1.0000	0.000
N_60CV	2	632.772	0.611	46.160	0.000	Lorentzian	44.325	0.8542	1.4710	51.798
N_60CV	3	511.612	0.164	42.243	0.000	Lorentzian	10.894	0.2294	0.3615	-69.362
N_60CV	4	677.130	0.027	36.935	0.000	Lorentzian	1.587	0.0382	0.0527	96.156
